OID_,rgn_id,AREA,Area_acres,PERIMETER,FISHPONDS_,FISHPOND_1,CORIALID,ISLAND,NAME1,NAME2,NAME3,TYPE_,CLASS,SIZE_,SOURCE,OWNERSHIP,WALLCONDIT,HREGSTAT,NATREGSTAT,SUBSURFACE,REF1,REF2,REF3,REF4,REF5,DHMFIELDCH,SEFACTOR1,SEFACTOR2,TMK,WATERQUALI,AQUACULTUR,HIARCHSITE
,3,196619.18,48.58558247,1810.34,16,133,O133,Oahu,Moli'i, , ,1,1,124.1,2,P,Good,N,Y, ,Apple & Kikuchi-1975,McAllister-1933,MINARK-1989,Sterling & Summers-1978, ,9-May-89,"Moli'i Fishpond has been stocked, harvested, and maintained",by George Uyemura and his family for many years. Mr. Uye,4-9-03:43,Class AA, ,80-06-313♪
,3,15009.759,3.708986498,628.203,17,131,O131,Oahu,Koholalele, , ,2,2,5.3,2,CCH,No wall,N,N, ,Apple & Kikuchi-1975,Gunness-1987,McAllister-1933,MINARK-1989,Sterling & Summers-1978,9-May-89,Identified in the Hawaiian Waterbird Recovery Plan as an,essential habitat area for Hawaiian waterbirds (U.S. Fish &,4-9-04:1 portion,Class 2, ,80-06-312♪
,3,127223.813,31.43764031,1313.271,18,134,O134,Oahu,Kahalu'u or,Kahouna, ,1,2,39.4,2,P,Excellent,N,Y, ,McAllister-1933,MINARK-1989, , , ,10-May-89,Pond is being maintained but not used for fish production.,"Dr. Yap, Linda Wong's father, reports that pollution",4-7-11:1,Class AA, ,80-10-319♪
,3,3029.776,0.748672798,198.123,19,135,O135,Oahu,nameless (or Fong),(McAllister #319A), ,1,2,1.5,2,P,Good,N,N, ,McAllister-1933, , , , ,24-May-89,The pond is being maintained but not used for commercial fish,"production.  Approximately one acre of the pond, which",4-7-09:4 portion,Class AA, ,♪
,3,331582.042,81.93558049,2378.967,20,137,O137,Oahu,He'eia or,He'eia-uli, ,1,2,96.7,2,P,Good,N,Y, ,Kelly-1975,McAllister-1933,Sterling & Summers-1978, , ,8-May-89, , ,4-6-05:1,Class AA, ,80-10-327♪
,3,9668.166,2.389052159,375.061,25,142,O142,Oahu,Kanohuluiwi, , ,1,1,3,2,P,Good,N, , ,Apple & Kikuchi-1975,McAllister-1933,MINARK-1989, , ,24-May-89,Fishpond owners report problems with pollution from adjacent,Makani Kai Marina.  They also shared information,4-5-57:1&9 portions,Class AA, ,80-10-344♪
,2,35493.928,8.770727078,874.676,49,15,N15,Molokai,Kalua'apuhi, , ,1,2,19,1,P,Excellent,N,N, ,Estioko-Griifin-1987,MINARK-1989,Summers-1971, , ,18-May-89,Located adjacent to Molokai's biomass electric plant. Identi-,fied in the Hawaiian Waterbirds Recovery Plan as an esse,5-2-11:25,Class A, ,60-03-104♪
,2,106391.175,26.2897913,1237.078,61,24,N24,Molokai,Kaloko'eli, , ,1,2,28.2,7,S,Good,Y,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1971, ,18-May-89,Bordered on its western side by Molokai Shores Condominium,and on its eastern side by Hotel Molokai.,5-4-02:14,Class AA, ,60-03-133♪
,2,96049.252,23.73425042,1241.524,62,59,N59,Molokai,Kupeke, , ,1,2,33.8,7,P,Fair,N,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,Summers-1975, , ,19-May-89,"An active fresh water source, Kupeke Stream is located to the",east of the pond.,5-7-06:1,Class AA, ,60-05-206♪
,2,69490.951,17.17156145,1058.511,64,25,N25,Molokai,Ali'i, , ,1,2,0,1,HHL, , , , , , , , , , , , ,5-4-06:25, , ,60-03-135♪
,2,72205.829,17.84242138,991.545,70,52,N52,Molokai,Ka'opeahina, , ,1,1,19.7,1,P,Excellent,N,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,Summers-1975, , ,Visitation denied., , ,5-7-09:1,Class AA, ,60-05-190♪
,2,26578.576,6.567699022,688.621,71,29,N29,Molokai,Kakaha'ia, , ,2,2,0,7,F, , , , , , , , , , , , ,5-4-01:5, , ,60-04-143♪
,2,57407.904,14.18578012,1013.415,74,49,N49,Molokai,'Ualapu'e, , ,1,2,22.3,1,S,Good,N,Y, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1975, ,18-May-89,"Mr. Blissard, property owner near 'Ualapu'e Fishpond, noted",that there is a spring on his property and other property,5-6-01:1,Class AA, ,60-04-185♪
,2,200103.392,49.44654868,1849.461,78,42,N42,Molokai,Keawa Nui or,Mikimiki or,Hinau,1,1,73,1,P,Good,N,Y, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1975, ,19-May-89,Pond was reported to be heavily infested with jellyfish. An,aquaculture farm is currently in operation just east of,5-6-06:8,Class AA, ,60-04-163♪
,2,43383.872,10.72037169,942.956,80,40,N40,Molokai,Kaina'ohe, , ,1,2,17.2,1,P,Fair,N,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1975, ,19-May-89, , ,5-6-05:22,Class AA, ,60-04-160♪
,2,33202.106,8.204406403,682.15,82,34,N34,Molokai,Pahiomu, , ,1,2,19.8,1,S,Fair,Y,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1975, ,18-May-89, , ,5-5-01:10,Class AA, ,60-04-149♪
,2,166706.725,41.19406528,1683.812,87,42,N42,Molokai,Keawa Nui or,Mikimiki or,Hinau,1,1,73,1,P,Good,N,Y, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,MINARK-1989,Summers-1975, ,19-May-89,Pond was reported to be heavily infested with jellyfish. An,aquaculture farm is currently in operation just east of,5-6-06:8,Class AA, ,60-04-163♪
,2,144511.251,35.70945268,1648.759,90,37,N37,Molokai,Kalokoiki, , ,1,2,4,7,P,Good,N,N, ,Apple & Kikuchi-1975,Estioko-Griffin-1987,Summers-1975, , ,18-May-89,The caretaker of the fishpond Mr. George Maioho of Kapualei,Ranch noted previous dredging east of the area,5-6-08:20,Class AA, ,60-04-157♪
,1,42852.775,10.58913497,1121.891,115,72,H72,Hawaii,nameless, , ,4,2,0,2,UNK, , , , , , , , , , , , ,1-May, , ,♪
,1,526993.438,130.2227135,4580.069,117,70,H70,Hawaii,nameless ponds, , ,6,2,0,7,S/P, , , , , , , , , , , , ,"6-9-02,03,04,05,06", , ,♪
,1,1675.268,0.413967099,217.89,118,66,H66,Hawaii,Waipuhi, , ,1,1,0,2,P, , , , , , , , , , , , ,6-8-22:16, , ,♪
,1,470.265,0.116204833,91.233,119,53,H53,Hawaii,Weliweli ponds, , ,2,1,0.4,"2, 5",P,Unknown,N,N, ,Kikuchi-1973,Kikuchi & Belshe-1971,Maciolek & Brock-1974,Rosendahl-1973, ,Visitation denied., , ,7-1-03:9,Class 2,U,♪
,1,2160.263,0.533811789,221.76,120,51,H51,Hawaii,Keawaiki, , ,2,1,0.8,"2, 5",P,N/A,N,N, ,Kikuchi-1973,Kikuchi & Belshe-1971,Maciolek & Brock-1974, , ,5-Jul-90, , ,7-1-03:3,Class 2,N,♪
,1,6899.327,1.704858198,489.951,121,49,H49,Hawaii,Kiholo, , ,2,2,3,"2, 5",S,Good,N,N, ,Apple & Kikuchi-1975,Kikuchi-1973,Maciolek & Brock-1974, , ,6-Jul-90, , ,7-1-02:4,Class 2,N,♪
,1,950.205,0.234800407,126.103,123,46,H46,Hawaii,Waielepi, , ,6,2,0,2,P, , , , , , , , , , , , ,7-1-02:2, , ,♪
,1,503.199,0.124342989,105.681,124,42,H42,Hawaii,Ka'upulehu, , ,2,2,1.7,"2, 5",P,Good,N,N, ,Apple & Kikuchi-1975,Kikuchi-1973,Kikuchi & Belshe-1971,Maciolek & Brock-1974,Soehren-1963,5-Jul-90,Freshwater spring at SE corner of pond.  According to the,"caretaker, the pond will be maintained in the future, inclu",7-2-03:2,Class 2,N,♪
,1,11392.861,2.815232917,378.436,128,89,H89,Hawaii,Keokea, ,BPBM 50-Ha-H22-42,2,2,0,2,H, , , , , , , , , , , , ,2-1-14:13, , ,♪
,1,7143.931,1.76530107,621.979,132,100,H100,Hawaii,Kionakapahu, ,BPBM 50-Ha-H22-43,2,2,2.8,2,S,N/A,N,N, ,Kikuchi-1973,McEldowney-1979, , , ,13-Jun-90,Kionakapahu is contiguous with Lokoaka Fishpond and is leased,for aquaculture by the Nakagawa family.  The USGS map c,2-1-16:1,Class 2,Y,"10-36-10,262♪"
,1,303.311,0.074949665,73.925,133,106,H106,Hawaii,nameless ponds, , ,2,2,0,2,S/P, , , , , , , , , , , , ,"2-1-18,19: various", , ,♪
,1,76113.219,18.80795698,1568.089,134,102,H102,Hawaii,Lokoaka,Lokowaka,BPBM 50-Ha-H22-4,2,1,14.4,"2, 5",S,Good,N,N, ,Apple & Kikuchi-1975,Kikuchi-1973,Madden & Paulsen-1977,McEldowney-1979,MINARK-1989,13-Jun-90,"The pond is used for aquaculture by the Nakagawa family, who",lease this pond as well as Kionakapahu and Akahi Fishponds.,2-1-16:1,Class 2,Y,"10-36-10,263♪"
,1,327.842,0.081011397,68.446,135,105,H105,Hawaii,nameless,Richardson, ,1,2,0,2,S, , , , , , , , , , , , ,2-1-18:26, , ,♪
,1,7480.917,1.848571995,633.234,136,84,H84,Hawaii,Waihonu, ,BPBM 50-Ha-H22-47,1,2,0,2,S, , , , , , , , , , , , ,2-1-03:1, , ,♪
,1,22632.454,5.592592546,533.341,137,29,H29,Hawaii,nameless concentration,(80 ponds),(counted as one),6,2,0.01,2,P,Fair,N,N, ,Donham-1986,Kikuchi & Belshe-1971,Maciolek & Brock-1974, , ,3-Jul-90, , ,7-3-09:3, , ,♪
,1,47134.596,11.64719434,1085.829,138,28,H28,Hawaii,Kaloko, ,BPBM 50-Ha-D13-11,1,1,0,"2, 5",F, , , , , , , , , , , , ,7-3-09:2,Class 2,N,10-27-2166♪
,1,47321.492,11.69337728,1006.096,139,25,H25,Hawaii,'Aimakapa'a, ,BPBM 50-Ha-D12-30,2,2,60,"2, 5",P,Poor,N,N, ,Apple & Kikuchi-1975,Dept. of Interior-1975,Emory-1970,Emory & Soehren-1961,Kelly-1973,2-Jul-90,A garbage dump is located up-slope of the pond and possibly,may be contaminating ground water. Mr. R.K. Greenwell re,7-4-08:10,Class 2,N,10-27-3845♪
,1,24625.755,6.085147189,1020.314,140,107,H107,Hawaii,Ha'ena,Shipman's,BPBM 50-Ha-A1-64,2,2,2.2,"2, 5",P,Unknown,N,N, ,Kikuchi-1973,Madden & Paulsen-1979,McEldowney-1979, , ,None., , ,1-6-01:1,Class AA,U,♪
,1,13864.481,3.425982578,513.995,141,110,H110,Hawaii,nameless, , ,1,2,4.3,5,P,Fair,N,N, ,Cox-1983,Kikuchi-1973, , , ,14-Jun-90,Mangrove currently encroaching on two sides of pond. Young,mangrove shoots are growing out of the wall.  The pond,1-4-02:36,Class AA,N,♪
,1,433.709,0.107171662,81.348,142,112,H112,Hawaii,Waiopae (concentration), , ,6,2,0,2,P, , , , , , , , , , , , ,"1-4-2:3,51,68various", , ,♪
,1,86.753,0.0214371,37.962,143,5,H5,Hawaii,named pond concentration, , ,2,2,0,2,F, , , , , , , , , , , , ,8-4-11:, , ,♪
,1,132.911,0.032842973,48.992,144,4,H4,Hawaii,Makaloa, , ,2,2,0,2,F, , , , , , , , , , , , ,8-4-11:, , ,♪
,1,157.037,0.038804628,47.282,145,3,H3,Hawaii,Heleipala, , ,2,2,0,2,F, , , , , , , , , , , , ,8-4-11:, , ,♪
,1,4028.508,0.995464469,322.095,148,122,H122,Hawaii,nameless, , ,2,2,0,2,P, , , , , , , , , , , , ,9-5-19:12, , ,♪
,1,3080.42,0.761187184,231.138,149,124,H124,Hawaii,nameless, , ,2,2,1.5,"5, 6",P,N/A,N,N, ,Apple & Kikuchi-1975,Barrera & Hommon-1972,Kikuchi-1973,Rosendahl & Rosendahl-1987, ,22-Jun-90, , ,9-5-19:12,Class AA,N,♪
,1,16368.93,4.044844448,624.162,151,129,H129,Hawaii,nameless, ,BPBM 50 Ha-B13-73,1,2,10,"2, 5",P,Fair,N,N, ,Apple & Kikuchi-1975,Ayres-1970,Kelly-1980,Kikuchi-1973,MINARK-1989,22-Jun-90,"A 6.4 m concrete bridge (arched), with electrical conduits","underneath, crosses a narrow area of pond near the northeast",9-5-14:7,Class AA,N,♪
,1,1592.229,0.393447747,169.943,152,137,H137,Hawaii,Kanonone, ,BPBM 50-Ha-B23-46,2,2,0,"2, 5",P,Unknown,N,N, ,Haun & Walker-1987,Maciolek & Brock-1974,MINARK-1989, , ,Visitation denied., , ,9-2-01:72,Class 2,N,♪
,1,471.895,0.116607614,84.839,154,133,H133,Hawaii,Lua O Palahemo, ,BPBM 50-Ha-B20-7,6,1,0,2,HHL, , , , , , , , , , , , ,9-3-01:1, , ,10-76-3610♪
