species,year,rgn_id,licenses,catch
Akule,2013,2,31,38610
Akule,2013,3,88,154330
Akule,2013,4,34,37280
Akule,2014,1,61,13005
Akule,2014,2,39,32013
Akule,2014,3,83,171809
Akule,2014,4,39,38603
Akule,2015,1,59,17708
Akule,2015,2,30,30937
Akule,2015,3,86,290588
Akule,2015,4,43,52506
Akule,2016,1,57,20069
Akule,2016,2,26,142269
Akule,2016,3,70,206894
Akule,2016,4,46,36583
Alaihe,2012,1,18,218
Alaihe,2012,2,6,43
Alaihe,2012,3,21,390
Alaihe,2013,1,26,375
Alaihe,2013,3,25,368
Alaihe,2014,1,22,231
Alaihe,2014,3,17,246
Alaihe,2015,1,19,133
Alaihe,2015,2,4,10
Alaihe,2015,3,5,74
Alaihe,2016,1,14,88
Alaihe,2016,3,5,27
Alaihe mama,2012,1,8,67
Alaihe mama,2012,2,3,10
Alaihe mama,2013,1,7,45
Alaihe mama,2014,1,5,9
Alaihe mama,2015,1,5,47
Alaihe mama,2016,1,4,10
Alfonsin,2013,1,5,54
Alfonsin,2014,1,4,16
Amaama,2012,3,11,7048
Amaama,2012,4,3,1380
Amaama,2013,3,10,5708
Amaama,2014,1,4,29
Amaama,2014,3,13,3754
Amaama,2015,3,9,3947
Amaama,2016,3,5,2379
Api,2012,1,5,35
Api,2012,3,4,64
Api,2013,1,3,21
Api,2013,3,4,84
Api,2014,1,4,59
Api,2015,1,4,41
Awa,2012,2,4,62
Awa,2012,3,8,2165
Awa,2013,3,9,667
Awa,2014,3,12,1518
Awa,2015,3,10,2068
Awa,2016,3,6,397
Awaawa,2012,3,18,1509
Awaawa,2013,3,16,1231
Awaawa,2014,3,15,689
Awaawa,2015,3,10,374
Awaawa,2016,3,5,336
Aweoweo,2012,1,56,1651
Aweoweo,2012,2,19,274
Aweoweo,2012,3,37,843
Aweoweo,2012,4,15,244
Aweoweo,2013,1,56,2654
Aweoweo,2013,2,26,331
Aweoweo,2013,3,48,1764
Aweoweo,2013,4,13,438
Aweoweo,2014,1,57,3086
Aweoweo,2014,2,24,280
Aweoweo,2014,3,50,1700
Aweoweo,2014,4,18,999
Aweoweo,2015,1,45,3939
Aweoweo,2015,2,22,549
Aweoweo,2015,3,47,2274
Aweoweo,2015,4,19,540
Aweoweo,2016,1,39,2568
Aweoweo,2016,2,18,550
Aweoweo,2016,3,35,1556
Aweoweo,2016,4,17,546
Aweoweo (deepsea),2012,1,9,50
Aweoweo (deepsea),2012,2,12,72
Aweoweo (deepsea),2012,3,3,20
Aweoweo (deepsea),2013,1,6,27
Aweoweo (deepsea),2013,2,9,45
Aweoweo (deepsea),2013,3,4,55
Aweoweo (deepsea),2013,4,3,13
Aweoweo (deepsea),2014,1,14,130
Aweoweo (deepsea),2014,2,11,103
Aweoweo (deepsea),2014,3,3,117
Aweoweo (deepsea),2015,1,3,50
Aweoweo (deepsea),2015,2,10,120
Aweoweo (deepsea),2015,3,6,131
Aweoweo (deepsea),2015,4,3,16
Aweoweo (deepsea),2016,2,11,95
Aweoweo (deepsea),2016,3,7,78
Aweoweo (deepsea),2016,4,3,31
Barred jack,2013,3,4,32
Barred jack,2016,3,3,67
Bigeye tuna,2012,1,174,251332
Bigeye tuna,2012,2,103,116027
Bigeye tuna,2012,3,109,38200
Bigeye tuna,2012,4,29,79056
Bigeye tuna,2013,1,188,290378
Bigeye tuna,2013,2,89,100207
Bigeye tuna,2013,3,51,34939
Bigeye tuna,2013,4,28,55497
Bigeye tuna,2014,1,184,250672
Bigeye tuna,2014,2,81,89927
Bigeye tuna,2014,3,54,51573
Bigeye tuna,2014,4,24,27384
Bigeye tuna,2015,1,115,106997
Bigeye tuna,2015,2,60,67833
Bigeye tuna,2015,3,36,18667
Bigeye tuna,2015,4,23,7105
Bigeye tuna,2016,1,136,128835
Bigeye tuna,2016,2,54,23582
Bigeye tuna,2016,3,25,3823
Bigeye tuna,2016,4,10,2361
Black kole,2012,1,5,194
Black kole,2013,1,3,97
Black kole,2016,1,4,24
Black marlin,2012,1,10,2255
Black marlin,2012,3,6,1999
Black marlin,2012,4,4,1071
Black marlin,2013,1,12,3380
Black marlin,2013,3,8,2218
Black marlin,2013,4,4,1338
Black marlin,2014,1,11,2225
Black marlin,2014,3,7,2026
Black marlin,2014,4,3,1230
Black marlin,2015,1,16,2301
Black marlin,2015,3,10,2772
Black marlin,2015,4,12,3649
Black marlin,2016,1,16,2926
Black marlin,2016,3,6,2888
Blue marlin,2012,1,220,147167
Blue marlin,2012,2,45,29126
Blue marlin,2012,3,142,78412
Blue marlin,2012,4,60,26281
Blue marlin,2013,1,222,129479
Blue marlin,2013,2,51,25980
Blue marlin,2013,3,180,103683
Blue marlin,2013,4,58,26797
Blue marlin,2014,1,227,155614
Blue marlin,2014,2,44,23445
Blue marlin,2014,3,181,110833
Blue marlin,2014,4,69,32867
Blue marlin,2015,1,252,153758
Blue marlin,2015,2,71,39852
Blue marlin,2015,3,222,161250
Blue marlin,2015,4,94,48378
Blue marlin,2016,1,207,105665
Blue marlin,2016,2,54,24591
Blue marlin,2016,3,174,135713
Blue marlin,2016,4,61,34613
Blue shark,2013,1,3,0
Butaguchi ulua,2012,2,6,80
Butaguchi ulua,2012,4,8,485
Butaguchi ulua,2013,1,3,27
Butaguchi ulua,2013,2,4,44
Butaguchi ulua,2013,4,3,388
Butaguchi ulua,2014,2,3,62
Butaguchi ulua,2014,3,4,148
Butaguchi ulua,2015,3,5,48
Butaguchi ulua,2015,4,4,144
Butaguchi ulua,2016,2,3,105
Dobe ulua,2012,2,13,1139
Dobe ulua,2012,3,8,6709
Dobe ulua,2013,1,4,157
Dobe ulua,2013,2,11,1768
Dobe ulua,2013,3,10,1130
Dobe ulua,2014,1,3,471
Dobe ulua,2014,2,8,139
Dobe ulua,2014,3,11,3519
Dobe ulua,2015,2,10,458
Dobe ulua,2015,3,7,814
Dobe ulua,2016,2,6,124
Dobe ulua,2016,3,3,312
Ea (wrasse),2012,1,5,41
Ea (wrasse),2012,2,10,128
Ea (wrasse),2012,3,8,142
Ea (wrasse),2013,1,6,30
Ea (wrasse),2013,2,8,115
Ea (wrasse),2013,3,4,18
Ea (wrasse),2014,2,7,113
Ea (wrasse),2015,1,3,76
Ea (wrasse),2015,2,5,23
Ea (wrasse),2015,3,5,42
Ea (wrasse),2016,2,4,26
Ea (wrasse),2016,3,3,3
Ehu,2012,1,97,7838
Ehu,2012,2,142,13538
Ehu,2012,3,50,1688
Ehu,2012,4,51,4873
Ehu,2012,NA,3,57
Ehu,2013,1,93,11963
Ehu,2013,2,134,15900
Ehu,2013,3,46,1239
Ehu,2013,4,40,3195
Ehu,2014,1,96,7959
Ehu,2014,2,126,15508
Ehu,2014,3,40,1520
Ehu,2014,4,39,3567
Ehu,2015,1,74,11090
Ehu,2015,2,111,14591
Ehu,2015,3,44,2204
Ehu,2015,4,34,3476
Ehu,2016,1,74,6124
Ehu,2016,2,107,18381
Ehu,2016,3,44,1974
Ehu,2016,4,33,4182
Gindai,2012,1,72,1671
Gindai,2012,2,61,641
Gindai,2012,3,24,153
Gindai,2012,4,47,1330
Gindai,2013,1,73,2035
Gindai,2013,2,48,628
Gindai,2013,3,19,103
Gindai,2013,4,30,882
Gindai,2014,1,61,1505
Gindai,2014,2,44,548
Gindai,2014,3,18,73
Gindai,2014,4,30,926
Gindai,2015,1,49,1229
Gindai,2015,2,53,427
Gindai,2015,3,16,158
Gindai,2015,4,24,502
Gindai,2016,1,58,841
Gindai,2016,2,37,414
Gindai,2016,3,22,177
Gindai,2016,4,22,761
Golden kali,2012,1,13,92
Golden kali,2012,2,27,120
Golden kali,2012,3,5,16
Golden kali,2012,4,7,26
Golden kali,2013,1,19,159
Golden kali,2013,2,21,173
Golden kali,2013,3,9,39
Golden kali,2013,4,7,38
Golden kali,2014,1,10,101
Golden kali,2014,2,16,92
Golden kali,2014,3,6,27
Golden kali,2014,4,4,22
Golden kali,2015,1,8,40
Golden kali,2015,2,14,115
Golden kali,2015,3,9,48
Golden kali,2015,4,3,21
Golden kali,2016,1,7,23
Golden kali,2016,2,13,76
Golden kali,2016,3,4,18
Golden kali,2016,4,4,36
Gunkan ulua,2012,1,3,60
Gunkan ulua,2012,2,3,88
Gunkan ulua,2012,3,6,194
Gunkan ulua,2012,4,5,140
Gunkan ulua,2013,1,5,132
Gunkan ulua,2013,4,6,486
Gunkan ulua,2014,2,3,100
Gunkan ulua,2014,4,5,216
Gunkan ulua,2015,4,5,143
Gunkan ulua,2016,1,3,140
Gunkan ulua,2016,4,3,130
Hahalalu,2012,1,6,278
Hahalalu,2012,3,32,9652
Hahalalu,2012,4,5,278
Hahalalu,2013,3,30,20957
Hahalalu,2013,4,4,104
Hahalalu,2014,1,3,55
Hahalalu,2014,3,28,37057
Hahalalu,2014,4,5,192
Hahalalu,2015,1,12,244
Hahalalu,2015,3,16,6474
Hahalalu,2015,4,5,144
Hahalalu,2016,1,10,534
Hahalalu,2016,3,17,13524
Hapuupuu,2012,1,54,2749
Hapuupuu,2012,2,71,2494
Hapuupuu,2012,3,19,500
Hapuupuu,2012,4,30,1822
Hapuupuu,2012,NA,3,3186
Hapuupuu,2013,1,58,3363
Hapuupuu,2013,2,57,3093
Hapuupuu,2013,3,24,398
Hapuupuu,2013,4,23,2265
Hapuupuu,2014,1,49,2050
Hapuupuu,2014,2,59,2407
Hapuupuu,2014,3,21,450
Hapuupuu,2014,4,21,3178
Hapuupuu,2014,NA,4,1855
Hapuupuu,2015,1,39,2623
Hapuupuu,2015,2,50,2949
Hapuupuu,2015,3,22,803
Hapuupuu,2015,4,24,1654
Hapuupuu,2016,1,45,2452
Hapuupuu,2016,2,53,2450
Hapuupuu,2016,3,21,625
Hapuupuu,2016,4,17,2602
Hauliuli,2013,1,3,11
Hinalea,2012,3,9,36
Hinalea,2013,3,13,46
Hinalea,2014,3,6,25
Hinalea,2015,3,4,21
Hinalea,2016,3,3,1
Hogo,2012,1,28,282
Hogo,2012,2,58,926
Hogo,2012,3,30,510
Hogo,2012,4,19,245
Hogo,2013,1,30,511
Hogo,2013,2,50,834
Hogo,2013,3,21,214
Hogo,2013,4,10,191
Hogo,2014,1,27,338
Hogo,2014,2,41,729
Hogo,2014,3,22,193
Hogo,2014,4,14,240
Hogo,2015,1,22,237
Hogo,2015,2,33,545
Hogo,2015,3,20,347
Hogo,2015,4,14,373
Hogo,2016,1,19,106
Hogo,2016,2,32,558
Hogo,2016,3,17,361
Hogo,2016,4,17,362
Humuhumu,2012,1,10,152
Humuhumu,2012,2,8,79
Humuhumu,2012,3,11,725
Humuhumu,2013,1,6,25
Humuhumu,2013,2,5,84
Humuhumu,2013,3,15,618
Humuhumu,2014,1,4,12
Humuhumu,2014,2,5,31
Humuhumu,2014,3,8,460
Humuhumu,2015,2,3,49
Humuhumu,2015,3,4,416
Humuhumu,2015,4,3,19
Humuhumu,2016,1,4,30
Humuhumu,2016,2,6,62
Humuhumu,2016,3,5,387
Iheihe,2012,3,3,87
Iheihe,2014,3,3,142
Kagami ulua,2012,2,7,252
Kagami ulua,2012,3,6,89
Kagami ulua,2012,4,6,174
Kagami ulua,2013,2,5,57
Kagami ulua,2013,3,4,18
Kagami ulua,2014,2,5,61
Kagami ulua,2014,3,8,74
Kagami ulua,2015,2,3,41
Kagami ulua,2015,3,7,98
Kagami ulua,2016,3,6,34
Kagami ulua,2016,4,6,205
Kahala,2012,1,35,1322
Kahala,2012,2,49,3684
Kahala,2012,3,36,3901
Kahala,2012,4,41,8687
Kahala,2013,1,34,2077
Kahala,2013,2,51,2300
Kahala,2013,3,36,2798
Kahala,2013,4,29,6019
Kahala,2014,1,26,1152
Kahala,2014,2,38,2120
Kahala,2014,3,36,4912
Kahala,2014,4,34,4844
Kahala,2015,1,21,2554
Kahala,2015,2,42,2697
Kahala,2015,3,42,4182
Kahala,2015,4,35,7125
Kahala,2016,1,27,7207
Kahala,2016,2,38,3463
Kahala,2016,3,38,2440
Kahala,2016,4,23,4623
Kaku,2012,1,19,303
Kaku,2012,2,32,651
Kaku,2012,3,45,1037
Kaku,2012,4,16,747
Kaku,2013,1,25,399
Kaku,2013,2,26,1071
Kaku,2013,3,45,520
Kaku,2013,4,16,496
Kaku,2014,1,28,470
Kaku,2014,2,20,351
Kaku,2014,3,30,569
Kaku,2014,4,19,433
Kaku,2015,1,36,325
Kaku,2015,2,39,884
Kaku,2015,3,35,438
Kaku,2015,4,14,465
Kaku,2016,1,20,238
Kaku,2016,2,32,344
Kaku,2016,3,20,214
Kaku,2016,4,7,111
Kala,2012,1,16,348
Kala,2012,2,11,6601
Kala,2012,3,40,35166
Kala,2013,1,12,432
Kala,2013,2,12,6595
Kala,2013,3,39,24982
Kala,2014,1,8,68
Kala,2014,2,13,5284
Kala,2014,3,37,24676
Kala,2015,1,11,191
Kala,2015,2,11,4878
Kala,2015,3,23,16625
Kala,2015,4,3,217
Kala,2016,1,7,394
Kala,2016,2,9,4279
Kala,2016,3,24,12640
Kalekale,2012,1,80,3479
Kalekale,2012,2,99,6962
Kalekale,2012,3,24,305
Kalekale,2012,4,35,2311
Kalekale,2012,NA,4,281
Kalekale,2013,1,85,6933
Kalekale,2013,2,105,6244
Kalekale,2013,3,28,406
Kalekale,2013,4,27,1122
Kalekale,2014,1,89,7165
Kalekale,2014,2,93,8516
Kalekale,2014,3,26,848
Kalekale,2014,4,30,1881
Kalekale,2014,NA,3,149
Kalekale,2015,1,80,5749
Kalekale,2015,2,79,5739
Kalekale,2015,3,29,890
Kalekale,2015,4,22,1336
Kalekale,2016,1,71,4502
Kalekale,2016,2,68,4324
Kalekale,2016,3,25,614
Kalekale,2016,4,22,1527
Kamanu,2012,1,56,2416
Kamanu,2012,2,19,606
Kamanu,2012,3,7,201
Kamanu,2012,4,10,570
Kamanu,2013,1,52,1473
Kamanu,2013,2,22,742
Kamanu,2013,3,9,110
Kamanu,2013,4,12,917
Kamanu,2014,1,70,2932
Kamanu,2014,2,39,1115
Kamanu,2014,3,14,159
Kamanu,2014,4,18,909
Kamanu,2015,1,64,1484
Kamanu,2015,2,48,1662
Kamanu,2015,3,11,125
Kamanu,2015,4,14,963
Kamanu,2016,1,64,2189
Kamanu,2016,2,45,2054
Kamanu,2016,3,19,167
Kamanu,2016,4,16,982
Kawakawa,2012,1,35,697
Kawakawa,2012,2,77,2569
Kawakawa,2012,3,88,2678
Kawakawa,2012,4,30,913
Kawakawa,2013,1,29,943
Kawakawa,2013,2,70,2655
Kawakawa,2013,3,91,3935
Kawakawa,2013,4,34,1850
Kawakawa,2014,1,61,2433
Kawakawa,2014,2,116,7891
Kawakawa,2014,3,119,13133
Kawakawa,2014,4,46,2152
Kawakawa,2015,1,75,3925
Kawakawa,2015,2,127,13238
Kawakawa,2015,3,127,14764
Kawakawa,2015,4,43,2844
Kawakawa,2016,1,69,2885
Kawakawa,2016,2,98,5884
Kawakawa,2016,3,70,2620
Kawakawa,2016,4,30,1304
Kawelea,2012,1,36,867
Kawelea,2012,2,22,783
Kawelea,2012,3,31,1548
Kawelea,2012,4,11,143
Kawelea,2013,1,45,908
Kawelea,2013,2,18,571
Kawelea,2013,3,29,1126
Kawelea,2013,4,3,12
Kawelea,2014,1,34,919
Kawelea,2014,2,23,243
Kawelea,2014,3,29,549
Kawelea,2014,4,7,93
Kawelea,2015,1,30,1735
Kawelea,2015,2,21,524
Kawelea,2015,3,24,1251
Kawelea,2015,4,6,77
Kawelea,2016,1,32,830
Kawelea,2016,2,19,283
Kawelea,2016,3,16,512
Kawelea,2016,4,3,20
Keokeo,2012,1,4,84
Keokeo,2012,2,3,7
Keokeo,2013,1,3,85
Keokeo,2014,3,5,28
Keokeo,2015,1,4,14
Keokeo,2015,3,3,9
Keokeo,2016,3,4,40
Kole,2012,1,23,1619
Kole,2012,2,12,2485
Kole,2012,3,8,65
Kole,2013,1,16,1393
Kole,2013,2,9,993
Kole,2013,3,12,346
Kole,2014,1,16,1882
Kole,2014,2,12,590
Kole,2014,3,7,660
Kole,2015,1,12,347
Kole,2015,2,6,776
Kole,2015,3,10,291
Kole,2016,1,12,658
Kole,2016,2,3,407
Kole,2016,3,3,128
Kumu,2012,1,33,1859
Kumu,2012,2,17,450
Kumu,2012,3,52,5512
Kumu,2012,4,9,618
Kumu,2013,1,25,1553
Kumu,2013,2,10,153
Kumu,2013,3,62,5069
Kumu,2013,4,6,311
Kumu,2014,1,24,369
Kumu,2014,2,12,240
Kumu,2014,3,56,3351
Kumu,2014,4,3,451
Kumu,2015,1,13,480
Kumu,2015,2,7,121
Kumu,2015,3,46,1955
Kumu,2015,4,5,151
Kumu,2016,1,14,708
Kumu,2016,2,11,191
Kumu,2016,3,31,835
Kumu,2016,4,6,218
Kupipi,2012,1,5,24
Kupipi,2012,2,5,121
Kupipi,2013,3,3,5
Kupipi,2014,1,4,77
Kupoupou,2012,3,5,17
Kupoupou,2013,3,6,12
Kupoupou,2014,3,5,10
Kupoupou,2015,3,3,6
Lae,2012,1,4,4
Lae,2012,2,3,8
Lae,2012,3,20,429
Lae,2013,1,3,6
Lae,2013,2,7,14
Lae,2013,3,23,358
Lae,2014,1,3,5
Lae,2014,3,28,235
Lae,2015,1,4,10
Lae,2015,2,4,4
Lae,2015,3,16,118
Lae,2016,3,5,80
Laenihi,2012,1,36,873
Laenihi,2012,2,29,1197
Laenihi,2012,3,22,578
Laenihi,2012,4,5,35
Laenihi,2013,1,37,791
Laenihi,2013,2,30,1616
Laenihi,2013,3,16,256
Laenihi,2013,4,4,10
Laenihi,2014,1,22,1041
Laenihi,2014,2,27,1835
Laenihi,2014,3,21,581
Laenihi,2015,1,25,643
Laenihi,2015,2,29,2666
Laenihi,2015,3,20,226
Laenihi,2016,1,26,832
Laenihi,2016,2,29,2121
Laenihi,2016,3,17,628
Lehi,2012,1,83,5494
Lehi,2012,2,33,3960
Lehi,2012,3,4,78
Lehi,2012,4,6,469
Lehi,2013,1,71,9888
Lehi,2013,2,37,3182
Lehi,2013,3,8,116
Lehi,2013,4,4,133
Lehi,2014,1,72,4718
Lehi,2014,2,50,3362
Lehi,2014,3,7,265
Lehi,2014,4,6,198
Lehi,2015,1,79,5716
Lehi,2015,2,38,5286
Lehi,2015,3,3,40
Lehi,2015,4,4,119
Lehi,2016,1,76,6073
Lehi,2016,2,34,2290
Lehi,2016,3,8,70
Lehi,2016,4,4,201
Mahimahi,2012,1,533,344688
Mahimahi,2012,2,369,297433
Mahimahi,2012,3,479,331620
Mahimahi,2012,4,170,79011
Mahimahi,2013,1,522,254074
Mahimahi,2013,2,351,190696
Mahimahi,2013,3,402,187942
Mahimahi,2013,4,152,44972
Mahimahi,2014,1,524,349617
Mahimahi,2014,2,364,318986
Mahimahi,2014,3,365,238172
Mahimahi,2014,4,162,47099
Mahimahi,2015,1,483,274956
Mahimahi,2015,2,300,279738
Mahimahi,2015,3,351,152765
Mahimahi,2015,4,145,52909
Mahimahi,2016,1,384,190230
Mahimahi,2016,2,244,193962
Mahimahi,2016,3,308,134586
Mahimahi,2016,4,122,35253
Maiko,2012,1,12,234
Maiko,2012,3,19,2047
Maiko,2013,1,6,63
Maiko,2013,3,23,3437
Maiko,2014,1,7,194
Maiko,2014,3,13,1229
Maiko,2015,1,6,99
Maiko,2015,3,10,350
Maiko,2016,1,4,43
Maiko,2016,3,8,909
Mako,2012,1,11,1613
Mako,2013,1,6,815
Mako,2013,3,3,48
Mako,2015,1,3,831
Mako,2016,1,8,1634
Malu,2012,1,7,28
Malu,2012,3,23,279
Malu,2012,4,3,22
Malu,2013,1,6,8
Malu,2013,3,26,261
Malu,2014,3,22,208
Malu,2015,3,17,90
Malu,2016,3,8,18
Manini,2012,1,23,1882
Manini,2012,2,17,4022
Manini,2012,3,40,8512
Manini,2013,1,12,2655
Manini,2013,2,8,3226
Manini,2013,3,43,9192
Manini,2014,1,15,1693
Manini,2014,2,11,2156
Manini,2014,3,34,7632
Manini,2015,1,13,629
Manini,2015,2,12,2284
Manini,2015,3,35,6173
Manini,2015,4,4,29
Manini,2016,1,12,549
Manini,2016,2,8,2814
Manini,2016,3,25,5061
Maomao,2012,1,5,11
Maomao,2012,2,4,1773
Maomao,2012,3,22,1110
Maomao,2013,2,4,672
Maomao,2013,3,20,1465
Maomao,2014,2,3,235
Maomao,2014,3,18,645
Maomao,2015,2,3,464
Maomao,2015,3,16,367
Maomao,2016,3,14,259
Menpachi,2012,1,102,23716
Menpachi,2012,2,46,5848
Menpachi,2012,3,85,13763
Menpachi,2012,4,38,9984
Menpachi,2013,1,90,23791
Menpachi,2013,2,32,3607
Menpachi,2013,3,84,16521
Menpachi,2013,4,38,13895
Menpachi,2014,1,78,16328
Menpachi,2014,2,40,4428
Menpachi,2014,3,88,12475
Menpachi,2014,4,27,19804
Menpachi,2015,1,72,14559
Menpachi,2015,2,33,4547
Menpachi,2015,3,72,12904
Menpachi,2015,4,32,11872
Menpachi,2016,1,66,15584
Menpachi,2016,2,32,5310
Menpachi,2016,3,59,13679
Menpachi,2016,4,30,14140
Moana,2012,1,58,2515
Moana,2012,2,25,1757
Moana,2012,3,62,1198
Moana,2012,4,16,288
Moana,2013,1,67,1850
Moana,2013,2,21,1573
Moana,2013,3,67,1644
Moana,2013,4,11,155
Moana,2014,1,36,1316
Moana,2014,2,15,772
Moana,2014,3,58,1243
Moana,2014,4,14,160
Moana,2015,1,31,1244
Moana,2015,2,9,102
Moana,2015,3,54,609
Moana,2015,4,8,109
Moana,2016,1,39,2140
Moana,2016,2,12,83
Moana,2016,3,38,447
Moana,2016,4,10,112
Moana kale,2012,1,38,1201
Moana kale,2012,2,22,652
Moana kale,2012,3,43,507
Moana kale,2012,4,14,212
Moana kale,2013,1,37,786
Moana kale,2013,2,21,324
Moana kale,2013,3,49,599
Moana kale,2013,4,10,153
Moana kale,2014,1,31,951
Moana kale,2014,2,17,108
Moana kale,2014,3,52,1433
Moana kale,2014,4,7,286
Moana kale,2015,1,23,522
Moana kale,2015,2,7,79
Moana kale,2015,3,46,529
Moana kale,2015,4,7,117
Moana kale,2016,1,30,948
Moana kale,2016,2,14,142
Moana kale,2016,3,38,569
Moana kale,2016,4,8,68
Moi,2012,2,3,124
Moi,2012,3,10,156
Moi,2013,3,8,44
Moi,2014,1,4,34
Moi,2014,2,3,32
Moi,2014,3,7,75
Moi,2015,1,5,173
Moi,2015,3,6,89
Moi,2016,2,3,27
Moi,2016,3,5,137
Moi,2016,4,3,137
Monchong,2012,1,21,9295
Monchong,2012,2,21,1032
Monchong,2012,3,3,207
Monchong,2012,4,4,222
Monchong,2013,1,36,39341
Monchong,2013,2,18,1136
Monchong,2013,3,10,777
Monchong,2013,4,5,195
Monchong,2014,1,24,37469
Monchong,2014,2,16,1379
Monchong,2014,3,6,1828
Monchong,2014,4,6,262
Monchong,2015,1,31,27631
Monchong,2015,2,12,1277
Monchong,2015,3,5,406
Monchong,2015,4,8,2013
Monchong,2016,1,27,29422
Monchong,2016,2,20,2389
Monchong,2016,3,4,210
Monchong,2016,4,7,1898
Mu,2012,1,13,1946
Mu,2012,2,7,115
Mu,2012,3,20,3539
Mu,2012,4,4,164
Mu,2013,1,11,1753
Mu,2013,2,4,181
Mu,2013,3,30,3699
Mu,2014,1,14,171
Mu,2014,2,3,28
Mu,2014,3,28,3101
Mu,2015,1,11,275
Mu,2015,2,3,71
Mu,2015,3,27,1497
Mu,2015,4,3,230
Mu,2016,1,14,275
Mu,2016,2,5,97
Mu,2016,3,22,1356
Mu,2016,4,3,381
Munu,2012,1,21,301
Munu,2012,2,4,38
Munu,2012,3,23,488
Munu,2013,1,25,144
Munu,2013,2,3,29
Munu,2013,3,26,485
Munu,2014,1,25,147
Munu,2014,2,3,12
Munu,2014,3,26,459
Munu,2015,1,10,42
Munu,2015,2,3,11
Munu,2015,3,25,208
Munu,2016,1,17,91
Munu,2016,3,14,200
Naenae,2012,1,9,77
Naenae,2012,2,3,525
Naenae,2012,3,32,8302
Naenae,2013,1,5,110
Naenae,2013,3,36,7887
Naenae,2014,3,25,7965
Naenae,2015,3,22,4213
Naenae,2016,3,17,3094
Nenue,2012,1,35,845
Nenue,2012,2,18,7960
Nenue,2012,3,36,22331
Nenue,2012,4,5,99
Nenue,2013,1,24,968
Nenue,2013,2,13,5138
Nenue,2013,3,39,21214
Nenue,2014,1,28,1097
Nenue,2014,2,20,6224
Nenue,2014,3,30,9262
Nenue,2014,4,7,54
Nenue,2015,1,18,594
Nenue,2015,2,19,5806
Nenue,2015,3,17,10977
Nenue,2015,4,3,72
Nenue,2016,1,18,655
Nenue,2016,2,13,3511
Nenue,2016,3,21,5584
Nenue,2016,4,3,27
Nohu,2012,1,18,421
Nohu,2012,2,9,1047
Nohu,2012,3,12,378
Nohu,2013,1,12,245
Nohu,2013,2,7,393
Nohu,2013,3,16,423
Nohu,2014,1,11,175
Nohu,2014,2,8,237
Nohu,2014,3,13,185
Nohu,2015,1,11,523
Nohu,2015,2,5,557
Nohu,2015,3,6,71
Nohu,2016,1,9,346
Nohu,2016,2,4,466
Nohu,2016,3,3,126
Nunu,2012,1,3,69
Nunu,2012,3,15,130
Nunu,2013,1,4,72
Nunu,2013,3,13,138
Nunu,2014,3,14,211
Nunu,2015,3,9,121
Nunu,2016,1,4,67
Nunu,2016,3,8,60
Oceanic whitetip,2013,1,6,80
Oceanic whitetip,2014,1,3,0
Oceanic whitetip,2015,1,6,0
Oio,2012,2,7,402
Oio,2012,3,32,10160
Oio,2013,1,6,22
Oio,2013,2,7,1220
