rgn_id,rgn_name,year,area_sq_m,sq_km,class_name,,,
4,Kauai,2005,25199.5,0.0251995,Estuarine Scrub_Shrub Wetland,,,
4,Kauai,2005,98098.1,0.0980981,Estuarine Emergent Wetland,,,
4,Kauai,2010,293852.2,0.2938522,estuarine forested wetland,,,
4,Kauai,2010,16289.3,0.0162893,estuarine scrub/shrub wetland,,,
4,Kauai,2010,140855,0.140855,estuarine emergent wetland,,,
4,Kauai,2010,1448956.8,1.4489568,palustrine forested wetland,,,
4,Kauai,2010,390873.6,0.3908736,palustrine scrub/shrub wetland,,,
4,Kauai,2010,1515386.9,1.5153869,palustrine emergent wetland,,,
3,Oahu,1992,2264400,2.2644,palustrine forested wetland,,,
3,Oahu,1992,1158300,1.1583,palustrine scrub/shrub wetland,,,
3,Oahu,1992,422100,0.4221,palustrine emergent wetland,,,
3,Oahu,1992,460800,0.4608,estuarine forested wetland,,,
3,Oahu,1992,758700,0.7587,estuarine scrub/shrub wetland,,,
3,Oahu,1992,4949100,4.9491,estuarine emergent wetland,,,
1,Hawaii,1992,671400,0.6714,palustrine forested wetland,,,
1,Hawaii,1992,445500,0.4455,palustrine scrub/shrub wetland,,,
1,Hawaii,1992,970200,0.9702,palustrine emergent wetland,,,
1,Hawaii,1992,48600,0.0486,estuarine forested wetland,,,
1,Hawaii,1992,900,0.0009,estuarine scrub/shrub wetland,,,
1,Hawaii,1992,112500,0.1125,estuarine emergent wetland,,,
2,Maui Nui,1992,2229300,2.2293,palustrine forested wetland,,,
2,Maui Nui,1992,1582200,1.5822,palustrine scrub/shrub wetland,,,
2,Maui Nui,1992,3528000,3.528,palustrine emergent wetland,,,
2,Maui Nui,1992,1742400,1.7424,estuarine forested wetland,,,
2,Maui Nui,1992,1502100,1.5021,estuarine scrub/shrub wetland,,,
2,Maui Nui,1992,377100,0.3771,estuarine emergent wetland,,,
4,Kauai,1992,1249200,1.2492,palustrine forested wetland,,,
4,Kauai,1992,304200,0.3042,palustrine scrub/shrub wetland,,,
4,Kauai,1992,1597500,1.5975,palustrine emergent wetland,,,
4,Kauai,1992,227700,0.2277,estuarine forested wetland,,,
4,Kauai,1992,25200,0.0252,estuarine scrub/shrub wetland,,,
4,Kauai,1992,98100,0.0981,estuarine emergent wetland,,,
4,Niihau,1992,107100,0.1071,palustrine forested wetland,,,
4,Niihau,1992,229500,0.2295,palustrine scrub/shrub wetland,,,
4,Niihau,1992,315900,0.3159,palustrine emergent wetland,,,
