year,rgn_id,stock_key,licenses,catch,island,mus,family,species
2015,1,Aawa_CHCR,34,1024,Hawaii,CHCR,Labridae,Aawa
2016,1,Aawa_CHCR,45,1902,Hawaii,CHCR,Labridae,Aawa
2012,1,Aholehole_CHCR,15,591,Hawaii,CHCR,Kuhliidae,Aholehole
2013,1,Aholehole_CHCR,17,721,Hawaii,CHCR,Kuhliidae,Aholehole
2014,1,Aholehole_CHCR,14,807,Hawaii,CHCR,Kuhliidae,Aholehole
2015,1,Aholehole_CHCR,16,613,Hawaii,CHCR,Kuhliidae,Aholehole
2016,1,Aholehole_CHCR,13,690,Hawaii,CHCR,Kuhliidae,Aholehole
2012,1,Akule_CHCR,58,18902,Hawaii,CHCR,Carangidae,Akule
2013,1,Akule_CHCR,59,14982,Hawaii,CHCR,Carangidae,Akule
2014,1,Akule_CHCR,61,13005,Hawaii,CHCR,Carangidae,Akule
2015,1,Akule_CHCR,59,17708,Hawaii,CHCR,Carangidae,Akule
2016,1,Akule_CHCR,57,20069,Hawaii,CHCR,Carangidae,Akule
2012,1,Alaihe_CHCR,18,218,Hawaii,CHCR,Holocentridae,Alaihe
2013,1,Alaihe_CHCR,26,375,Hawaii,CHCR,Holocentridae,Alaihe
2014,1,Alaihe_CHCR,22,231,Hawaii,CHCR,Holocentridae,Alaihe
2015,1,Alaihe_CHCR,19,133,Hawaii,CHCR,Holocentridae,Alaihe
2016,1,Alaihe_CHCR,14,88,Hawaii,CHCR,Holocentridae,Alaihe
2012,1,Alaihe mama_CHCR,8,67,Hawaii,CHCR,Holocentridae,Alaihe mama
2013,1,Alaihe mama_CHCR,7,45,Hawaii,CHCR,Holocentridae,Alaihe mama
2014,1,Alaihe mama_CHCR,5,9,Hawaii,CHCR,Holocentridae,Alaihe mama
2015,1,Alaihe mama_CHCR,5,47,Hawaii,CHCR,Holocentridae,Alaihe mama
2016,1,Alaihe mama_CHCR,4,10,Hawaii,CHCR,Holocentridae,Alaihe mama
2014,1,Amaama_CHCR,4,29,Hawaii,CHCR,Mugilidae,Amaama
2012,1,Api_CHCR,5,35,Hawaii,CHCR,Acanthuridae,Api
2013,1,Api_CHCR,3,21,Hawaii,CHCR,Acanthuridae,Api
2014,1,Api_CHCR,4,59,Hawaii,CHCR,Acanthuridae,Api
2015,1,Api_CHCR,4,41,Hawaii,CHCR,Acanthuridae,Api
2012,1,Aweoweo_CHCR,56,1651,Hawaii,CHCR,Priacanthidae,Aweoweo
2013,1,Aweoweo_CHCR,56,2654,Hawaii,CHCR,Priacanthidae,Aweoweo
2014,1,Aweoweo_CHCR,57,3086,Hawaii,CHCR,Priacanthidae,Aweoweo
2015,1,Aweoweo_CHCR,45,3939,Hawaii,CHCR,Priacanthidae,Aweoweo
2016,1,Aweoweo_CHCR,39,2568,Hawaii,CHCR,Priacanthidae,Aweoweo
2012,1,Hahalalu_CHCR,6,278,Hawaii,CHCR,Carangidae,Hahalalu
2014,1,Hahalalu_CHCR,3,55,Hawaii,CHCR,Carangidae,Hahalalu
2015,1,Hahalalu_CHCR,12,244,Hawaii,CHCR,Carangidae,Hahalalu
2016,1,Hahalalu_CHCR,10,534,Hawaii,CHCR,Carangidae,Hahalalu
2012,1,Humuhumu_CHCR,10,152,Hawaii,CHCR,Balistidae,Humuhumu
2013,1,Humuhumu_CHCR,6,25,Hawaii,CHCR,Balistidae,Humuhumu
2014,1,Humuhumu_CHCR,4,12,Hawaii,CHCR,Balistidae,Humuhumu
2016,1,Humuhumu_CHCR,4,30,Hawaii,CHCR,Balistidae,Humuhumu
2012,1,Kaku_CHCR,19,303,Hawaii,CHCR,Sphyraenidae,Kaku
2013,1,Kaku_CHCR,25,399,Hawaii,CHCR,Sphyraenidae,Kaku
2014,1,Kaku_CHCR,28,470,Hawaii,CHCR,Sphyraenidae,Kaku
2015,1,Kaku_CHCR,36,325,Hawaii,CHCR,Sphyraenidae,Kaku
2016,1,Kaku_CHCR,20,238,Hawaii,CHCR,Sphyraenidae,Kaku
2012,1,Kala_CHCR,16,348,Hawaii,CHCR,Acanthuridae,Kala
2013,1,Kala_CHCR,12,432,Hawaii,CHCR,Acanthuridae,Kala
2014,1,Kala_CHCR,8,68,Hawaii,CHCR,Acanthuridae,Kala
2015,1,Kala_CHCR,11,191,Hawaii,CHCR,Acanthuridae,Kala
2016,1,Kala_CHCR,7,394,Hawaii,CHCR,Acanthuridae,Kala
2012,1,Kawelea_CHCR,36,867,Hawaii,CHCR,Sphyraenidae,Kawelea
2013,1,Kawelea_CHCR,45,908,Hawaii,CHCR,Sphyraenidae,Kawelea
2014,1,Kawelea_CHCR,34,919,Hawaii,CHCR,Sphyraenidae,Kawelea
2015,1,Kawelea_CHCR,30,1735,Hawaii,CHCR,Sphyraenidae,Kawelea
2016,1,Kawelea_CHCR,32,830,Hawaii,CHCR,Sphyraenidae,Kawelea
2012,1,Kole_CHCR,23,1619,Hawaii,CHCR,Acanthuridae,Kole
2013,1,Kole_CHCR,16,1393,Hawaii,CHCR,Acanthuridae,Kole
2014,1,Kole_CHCR,16,1882,Hawaii,CHCR,Acanthuridae,Kole
2015,1,Kole_CHCR,12,347,Hawaii,CHCR,Acanthuridae,Kole
2016,1,Kole_CHCR,12,658,Hawaii,CHCR,Acanthuridae,Kole
2012,1,Kumu_CHCR,33,1859,Hawaii,CHCR,Mullidae,Kumu
2013,1,Kumu_CHCR,25,1553,Hawaii,CHCR,Mullidae,Kumu
2014,1,Kumu_CHCR,24,369,Hawaii,CHCR,Mullidae,Kumu
2015,1,Kumu_CHCR,13,480,Hawaii,CHCR,Mullidae,Kumu
2016,1,Kumu_CHCR,14,708,Hawaii,CHCR,Mullidae,Kumu
2012,1,Laenihi_CHCR,36,873,Hawaii,CHCR,Labridae,Laenihi
2013,1,Laenihi_CHCR,37,791,Hawaii,CHCR,Labridae,Laenihi
2014,1,Laenihi_CHCR,22,1041,Hawaii,CHCR,Labridae,Laenihi
2015,1,Laenihi_CHCR,25,643,Hawaii,CHCR,Labridae,Laenihi
2016,1,Laenihi_CHCR,26,832,Hawaii,CHCR,Labridae,Laenihi
2012,1,Maiko_CHCR,12,234,Hawaii,CHCR,Acanthuridae,Maiko
2013,1,Maiko_CHCR,6,63,Hawaii,CHCR,Acanthuridae,Maiko
2014,1,Maiko_CHCR,7,194,Hawaii,CHCR,Acanthuridae,Maiko
2015,1,Maiko_CHCR,6,99,Hawaii,CHCR,Acanthuridae,Maiko
2016,1,Maiko_CHCR,4,43,Hawaii,CHCR,Acanthuridae,Maiko
2012,1,Malu_CHCR,7,28,Hawaii,CHCR,Mullidae,Malu
2013,1,Malu_CHCR,6,8,Hawaii,CHCR,Mullidae,Malu
2012,1,Manini_CHCR,23,1882,Hawaii,CHCR,Acanthuridae,Manini
2013,1,Manini_CHCR,12,2655,Hawaii,CHCR,Acanthuridae,Manini
2014,1,Manini_CHCR,15,1693,Hawaii,CHCR,Acanthuridae,Manini
2015,1,Manini_CHCR,13,629,Hawaii,CHCR,Acanthuridae,Manini
2016,1,Manini_CHCR,12,549,Hawaii,CHCR,Acanthuridae,Manini
2012,1,Menpachi_CHCR,102,23716,Hawaii,CHCR,Holocentridae,Menpachi
2013,1,Menpachi_CHCR,90,23791,Hawaii,CHCR,Holocentridae,Menpachi
2014,1,Menpachi_CHCR,78,16328,Hawaii,CHCR,Holocentridae,Menpachi
2015,1,Menpachi_CHCR,72,14559,Hawaii,CHCR,Holocentridae,Menpachi
2016,1,Menpachi_CHCR,66,15584,Hawaii,CHCR,Holocentridae,Menpachi
2012,1,Moana_CHCR,58,2515,Hawaii,CHCR,Mullidae,Moana
2013,1,Moana_CHCR,67,1850,Hawaii,CHCR,Mullidae,Moana
2014,1,Moana_CHCR,36,1316,Hawaii,CHCR,Mullidae,Moana
2015,1,Moana_CHCR,31,1244,Hawaii,CHCR,Mullidae,Moana
2016,1,Moana_CHCR,39,2140,Hawaii,CHCR,Mullidae,Moana
2012,1,Moana kale_CHCR,38,1201,Hawaii,CHCR,Mullidae,Moana kale
2013,1,Moana kale_CHCR,37,786,Hawaii,CHCR,Mullidae,Moana kale
2014,1,Moana kale_CHCR,31,951,Hawaii,CHCR,Mullidae,Moana kale
2015,1,Moana kale_CHCR,23,522,Hawaii,CHCR,Mullidae,Moana kale
2016,1,Moana kale_CHCR,30,948,Hawaii,CHCR,Mullidae,Moana kale
2014,1,Moi_CHCR,4,34,Hawaii,CHCR,Polynemidae,Moi
2015,1,Moi_CHCR,5,173,Hawaii,CHCR,Polynemidae,Moi
2012,1,Munu_CHCR,21,301,Hawaii,CHCR,Mullidae,Munu
2013,1,Munu_CHCR,25,144,Hawaii,CHCR,Mullidae,Munu
2014,1,Munu_CHCR,25,147,Hawaii,CHCR,Mullidae,Munu
2015,1,Munu_CHCR,10,42,Hawaii,CHCR,Mullidae,Munu
2016,1,Munu_CHCR,17,91,Hawaii,CHCR,Mullidae,Munu
2012,1,Naenae_CHCR,9,77,Hawaii,CHCR,Acanthuridae,Naenae
2013,1,Naenae_CHCR,5,110,Hawaii,CHCR,Acanthuridae,Naenae
2012,1,Nenue_CHCR,35,845,Hawaii,CHCR,Kyphosidae,Nenue
2013,1,Nenue_CHCR,24,968,Hawaii,CHCR,Kyphosidae,Nenue
2014,1,Nenue_CHCR,28,1097,Hawaii,CHCR,Kyphosidae,Nenue
2015,1,Nenue_CHCR,18,594,Hawaii,CHCR,Kyphosidae,Nenue
2016,1,Nenue_CHCR,18,655,Hawaii,CHCR,Kyphosidae,Nenue
2012,1,Opelu_CHCR,83,153202,Hawaii,CHCR,Carangidae,Opelu
2013,1,Opelu_CHCR,77,131477,Hawaii,CHCR,Carangidae,Opelu
2014,1,Opelu_CHCR,76,152367,Hawaii,CHCR,Carangidae,Opelu
2015,1,Opelu_CHCR,61,156360,Hawaii,CHCR,Carangidae,Opelu
2016,1,Opelu_CHCR,57,103566,Hawaii,CHCR,Carangidae,Opelu
2012,1,Opelu kala_CHCR,26,2148,Hawaii,CHCR,Acanthuridae,Opelu kala
2013,1,Opelu kala_CHCR,25,2873,Hawaii,CHCR,Acanthuridae,Opelu kala
2014,1,Opelu kala_CHCR,22,919,Hawaii,CHCR,Acanthuridae,Opelu kala
2015,1,Opelu kala_CHCR,18,654,Hawaii,CHCR,Acanthuridae,Opelu kala
2016,1,Opelu kala_CHCR,15,341,Hawaii,CHCR,Acanthuridae,Opelu kala
2012,1,Pakuikui (tang)_CHCR,7,308,Hawaii,CHCR,Acanthuridae,Pakuikui (tang)
2013,1,Pakuikui (tang)_CHCR,9,403,Hawaii,CHCR,Acanthuridae,Pakuikui (tang)
2014,1,Pakuikui (tang)_CHCR,6,190,Hawaii,CHCR,Acanthuridae,Pakuikui (tang)
2015,1,Pakuikui (tang)_CHCR,3,112,Hawaii,CHCR,Acanthuridae,Pakuikui (tang)
2016,1,Pakuikui (tang)_CHCR,6,67,Hawaii,CHCR,Acanthuridae,Pakuikui (tang)
2012,1,Palani_CHCR,20,1349,Hawaii,CHCR,Acanthuridae,Palani
2013,1,Palani_CHCR,16,1545,Hawaii,CHCR,Acanthuridae,Palani
2014,1,Palani_CHCR,13,684,Hawaii,CHCR,Acanthuridae,Palani
2015,1,Palani_CHCR,14,650,Hawaii,CHCR,Acanthuridae,Palani
2016,1,Palani_CHCR,11,152,Hawaii,CHCR,Acanthuridae,Palani
2012,1,Panuhunuhu_CHCR,3,12,Hawaii,CHCR,Scaridae,Panuhunuhu
2013,1,Panuhunuhu_CHCR,3,11,Hawaii,CHCR,Scaridae,Panuhunuhu
2014,1,Panuhunuhu_CHCR,4,69,Hawaii,CHCR,Scaridae,Panuhunuhu
2015,1,Panunu_CHCR,4,11,Hawaii,CHCR,Scaridae,Panunu
2012,1,Poou_CHCR,3,20,Hawaii,CHCR,Labridae,Poou
2012,1,Pualu_CHCR,9,693,Hawaii,CHCR,Acanthuridae,Pualu
2013,1,Pualu_CHCR,7,563,Hawaii,CHCR,Acanthuridae,Pualu
2014,1,Pualu_CHCR,7,1573,Hawaii,CHCR,Acanthuridae,Pualu
2015,1,Pualu_CHCR,5,601,Hawaii,CHCR,Acanthuridae,Pualu
2016,1,Pualu_CHCR,3,452,Hawaii,CHCR,Acanthuridae,Pualu
2013,1,Puhi eel-misc._CHCR,3,338,Hawaii,CHCR,Muraenidae,Puhi eel-misc.
2012,1,Shark-misc._CHCR,13,304,Hawaii,CHCR,Carcharhinidae,Shark-misc.
2013,1,Shark-misc._CHCR,12,210,Hawaii,CHCR,Carcharhinidae,Shark-misc.
2014,1,Shark-misc._CHCR,6,103,Hawaii,CHCR,Carcharhinidae,Shark-misc.
2015,1,Shark-misc._CHCR,6,0,Hawaii,CHCR,Carcharhinidae,Shark-misc.
2016,1,Shark-misc._CHCR,6,249,Hawaii,CHCR,Carcharhinidae,Shark-misc.
2012,1,Uhu parrot-misc._CHCR,38,14003,Hawaii,CHCR,Scaridae,Uhu parrot-misc.
2013,1,Uhu parrot-misc._CHCR,24,7611,Hawaii,CHCR,Scaridae,Uhu parrot-misc.
2014,1,Uhu parrot-misc._CHCR,25,2812,Hawaii,CHCR,Scaridae,Uhu parrot-misc.
2015,1,Uhu parrot-misc._CHCR,16,4119,Hawaii,CHCR,Scaridae,Uhu parrot-misc.
2016,1,Uhu parrot-misc._CHCR,17,3294,Hawaii,CHCR,Scaridae,Uhu parrot-misc.
2012,1,Umaumalei_CHCR,11,435,Hawaii,CHCR,Acanthuridae,Umaumalei
2013,1,Umaumalei_CHCR,6,120,Hawaii,CHCR,Acanthuridae,Umaumalei
2012,1,Uouoa_CHCR,6,200,Hawaii,CHCR,Mugilidae,Uouoa
2013,1,Uouoa_CHCR,6,286,Hawaii,CHCR,Mugilidae,Uouoa
2014,1,Uouoa_CHCR,6,487,Hawaii,CHCR,Mugilidae,Uouoa
2015,1,Uouoa_CHCR,5,184,Hawaii,CHCR,Mugilidae,Uouoa
2012,1,Weke a'a_CHCR,13,157,Hawaii,CHCR,Mullidae,Weke a'a
2013,1,Weke a'a_CHCR,8,282,Hawaii,CHCR,Mullidae,Weke a'a
2014,1,Weke a'a_CHCR,12,91,Hawaii,CHCR,Mullidae,Weke a'a
2015,1,Weke a'a_CHCR,6,118,Hawaii,CHCR,Mullidae,Weke a'a
2016,1,Weke a'a_CHCR,7,131,Hawaii,CHCR,Mullidae,Weke a'a
2012,1,Weke nono_CHCR,28,822,Hawaii,CHCR,Mullidae,Weke nono
2013,1,Weke nono_CHCR,35,644,Hawaii,CHCR,Mullidae,Weke nono
2014,1,Weke nono_CHCR,29,1041,Hawaii,CHCR,Mullidae,Weke nono
2015,1,Weke nono_CHCR,24,611,Hawaii,CHCR,Mullidae,Weke nono
2016,1,Weke nono_CHCR,35,848,Hawaii,CHCR,Mullidae,Weke nono
2013,1,Weke pueo_CHCR,4,31,Hawaii,CHCR,Mullidae,Weke pueo
2012,1,Weke ula_CHCR,36,439,Hawaii,CHCR,Mullidae,Weke ula
2013,1,Weke ula_CHCR,28,420,Hawaii,CHCR,Mullidae,Weke ula
2014,1,Weke ula_CHCR,27,784,Hawaii,CHCR,Mullidae,Weke ula
2015,1,Weke ula_CHCR,21,477,Hawaii,CHCR,Mullidae,Weke ula
2016,1,Weke ula_CHCR,24,1017,Hawaii,CHCR,Mullidae,Weke ula
2012,1,Ahaaha_CHCR,8,123,Hawaii,CHCR,Belonidae,Ahaaha
2013,1,Ahaaha_CHCR,10,83,Hawaii,CHCR,Belonidae,Ahaaha
2015,1,Ahaaha_CHCR,10,85,Hawaii,CHCR,Belonidae,Ahaaha
2016,1,Ahaaha_CHCR,4,45,Hawaii,CHCR,Belonidae,Ahaaha
2012,1,Aweoweo (deepsea)_CHCR,9,50,Hawaii,CHCR,Priacanthidae,Aweoweo (deepsea)
2013,1,Aweoweo (deepsea)_CHCR,6,27,Hawaii,CHCR,Priacanthidae,Aweoweo (deepsea)
2014,1,Aweoweo (deepsea)_CHCR,14,130,Hawaii,CHCR,Priacanthidae,Aweoweo (deepsea)
2015,1,Aweoweo (deepsea)_CHCR,3,50,Hawaii,CHCR,Priacanthidae,Aweoweo (deepsea)
2012,1,Black kole_CHCR,5,194,Hawaii,CHCR,Acanthuridae,Black kole
2013,1,Black kole_CHCR,3,97,Hawaii,CHCR,Acanthuridae,Black kole
2016,1,Black kole_CHCR,4,24,Hawaii,CHCR,Acanthuridae,Black kole
2013,1,Dobe ulua_CHCR,4,157,Hawaii,CHCR,Carangidae,Dobe ulua
2014,1,Dobe ulua_CHCR,3,471,Hawaii,CHCR,Carangidae,Dobe ulua
2012,1,Ea (wrasse)_CHCR,5,41,Hawaii,CHCR,Labridae,Ea (wrasse)
2013,1,Ea (wrasse)_CHCR,6,30,Hawaii,CHCR,Labridae,Ea (wrasse)
2015,1,Ea (wrasse)_CHCR,3,76,Hawaii,CHCR,Labridae,Ea (wrasse)
2012,1,Golden kali_CHCR,13,92,Hawaii,CHCR,Emmelichthyidae,Golden kali
2013,1,Golden kali_CHCR,19,159,Hawaii,CHCR,Emmelichthyidae,Golden kali
2014,1,Golden kali_CHCR,10,101,Hawaii,CHCR,Emmelichthyidae,Golden kali
2015,1,Golden kali_CHCR,8,40,Hawaii,CHCR,Emmelichthyidae,Golden kali
2016,1,Golden kali_CHCR,7,23,Hawaii,CHCR,Emmelichthyidae,Golden kali
2013,1,Hauliuli_CHCR,3,11,Hawaii,CHCR,Gempylidae,Hauliuli
2012,1,Hogo_CHCR,28,282,Hawaii,CHCR,Scorpaenidae,Hogo
2013,1,Hogo_CHCR,30,511,Hawaii,CHCR,Scorpaenidae,Hogo
2014,1,Hogo_CHCR,27,338,Hawaii,CHCR,Scorpaenidae,Hogo
2015,1,Hogo_CHCR,22,237,Hawaii,CHCR,Scorpaenidae,Hogo
2016,1,Hogo_CHCR,19,106,Hawaii,CHCR,Scorpaenidae,Hogo
2012,1,Kamanu_CHCR,56,2416,Hawaii,CHCR,Carangidae,Kamanu
2013,1,Kamanu_CHCR,52,1473,Hawaii,CHCR,Carangidae,Kamanu
2014,1,Kamanu_CHCR,70,2932,Hawaii,CHCR,Carangidae,Kamanu
2015,1,Kamanu_CHCR,64,1484,Hawaii,CHCR,Carangidae,Kamanu
2016,1,Kamanu_CHCR,64,2189,Hawaii,CHCR,Carangidae,Kamanu
2012,1,Kupipi_CHCR,5,24,Hawaii,CHCR,Pomacentridae,Kupipi
2014,1,Kupipi_CHCR,4,77,Hawaii,CHCR,Pomacentridae,Kupipi
2012,1,Lae_CHCR,4,4,Hawaii,CHCR,Carangidae,Lae
2013,1,Lae_CHCR,3,6,Hawaii,CHCR,Carangidae,Lae
2014,1,Lae_CHCR,3,5,Hawaii,CHCR,Carangidae,Lae
2015,1,Lae_CHCR,4,10,Hawaii,CHCR,Carangidae,Lae
2012,1,Maomao_CHCR,5,11,Hawaii,CHCR,Pomacentridae,Maomao
2012,1,Mu_CHCR,13,1946,Hawaii,CHCR,Lethrinidae,Mu
2013,1,Mu_CHCR,11,1753,Hawaii,CHCR,Lethrinidae,Mu
2014,1,Mu_CHCR,14,171,Hawaii,CHCR,Lethrinidae,Mu
2015,1,Mu_CHCR,11,275,Hawaii,CHCR,Lethrinidae,Mu
2016,1,Mu_CHCR,14,275,Hawaii,CHCR,Lethrinidae,Mu
2012,1,Nohu_CHCR,18,421,Hawaii,CHCR,Scorpaenidae,Nohu
2013,1,Nohu_CHCR,12,245,Hawaii,CHCR,Scorpaenidae,Nohu
2014,1,Nohu_CHCR,11,175,Hawaii,CHCR,Scorpaenidae,Nohu
2015,1,Nohu_CHCR,11,523,Hawaii,CHCR,Scorpaenidae,Nohu
2016,1,Nohu_CHCR,9,346,Hawaii,CHCR,Scorpaenidae,Nohu
2012,1,Nunu_CHCR,3,69,Hawaii,CHCR,Aulostamidae,Nunu
2013,1,Nunu_CHCR,4,72,Hawaii,CHCR,Aulostamidae,Nunu
2016,1,Nunu_CHCR,4,67,Hawaii,CHCR,Aulostamidae,Nunu
2013,1,Oio_CHCR,6,22,Hawaii,CHCR,Albulidae,Oio
2015,1,Oio_CHCR,6,124,Hawaii,CHCR,Albulidae,Oio
2016,1,Oio_CHCR,5,90,Hawaii,CHCR,Albulidae,Oio
2012,1,Olililepa_CHCR,4,91,Hawaii,CHCR,Monacanthidae,Olililepa
2015,1,Olililepa_CHCR,3,32,Hawaii,CHCR,Monacanthidae,Olililepa
2012,1,Omilu_CHCR,16,1268,Hawaii,CHCR,Carangidae,Omilu
2013,1,Omilu_CHCR,16,557,Hawaii,CHCR,Carangidae,Omilu
2014,1,Omilu_CHCR,19,420,Hawaii,CHCR,Carangidae,Omilu
2015,1,Omilu_CHCR,15,609,Hawaii,CHCR,Carangidae,Omilu
2016,1,Omilu_CHCR,16,490,Hawaii,CHCR,Carangidae,Omilu
2013,1,Opelu mama_CHCR,3,42,Hawaii,CHCR,Carangidae,Opelu mama
2014,1,Opelu mama_CHCR,5,37,Hawaii,CHCR,Carangidae,Opelu mama
2012,1,Papa ulua_CHCR,8,32,Hawaii,CHCR,Carangidae,Papa ulua
2013,1,Papa ulua_CHCR,10,152,Hawaii,CHCR,Carangidae,Papa ulua
2014,1,Papa ulua_CHCR,7,137,Hawaii,CHCR,Carangidae,Papa ulua
2015,1,Papa ulua_CHCR,8,60,Hawaii,CHCR,Carangidae,Papa ulua
2016,1,Papa ulua_CHCR,8,222,Hawaii,CHCR,Carangidae,Papa ulua
2012,1,Poopaa_CHCR,12,30,Hawaii,CHCR,Cirrhitidae,Poopaa
2013,1,Poopaa_CHCR,9,21,Hawaii,CHCR,Cirrhitidae,Poopaa
2014,1,Poopaa_CHCR,11,28,Hawaii,CHCR,Cirrhitidae,Poopaa
2015,1,Poopaa_CHCR,6,16,Hawaii,CHCR,Cirrhitidae,Poopaa
2016,1,Poopaa_CHCR,7,20,Hawaii,CHCR,Cirrhitidae,Poopaa
2013,1,Randall's snapper_CHCR,4,51,Hawaii,CHCR,Lutjanidae,Randall's snapper
2015,1,Randall's snapper_CHCR,3,72,Hawaii,CHCR,Lutjanidae,Randall's snapper
