year,rgn_id,island,code,mus,family,X6,species,licenses,catch
2012,4,Kauai County,C,BMUS,Carangidae,NA,White ulua,26,4230
2013,4,Kauai County,C,BMUS,Carangidae,NA,White ulua,26,2778
2014,4,Kauai County,C,BMUS,Carangidae,NA,White ulua,26,3053
2015,4,Kauai County,C,BMUS,Carangidae,NA,White ulua,18,2739
2016,4,Kauai County,C,BMUS,Carangidae,NA,White ulua,16,1685
2012,2,Penguin Bank,C,BMUS,Carangidae,NA,White ulua,13,1619
2013,2,Penguin Bank,C,BMUS,Carangidae,NA,White ulua,14,1347
2014,2,Penguin Bank,C,BMUS,Carangidae,NA,White ulua,14,931
2015,2,Penguin Bank,C,BMUS,Carangidae,NA,White ulua,11,415
2016,2,Penguin Bank,C,BMUS,Carangidae,NA,White ulua,10,452
2012,1,Hawaii,B,BMUS,Lutjanidae,NA,Ehu,97,7838
2013,1,Hawaii,B,BMUS,Lutjanidae,NA,Ehu,93,11963
2014,1,Hawaii,B,BMUS,Lutjanidae,NA,Ehu,96,7959
2015,1,Hawaii,B,BMUS,Lutjanidae,NA,Ehu,74,11090
2016,1,Hawaii,B,BMUS,Lutjanidae,NA,Ehu,74,6124
2012,2,Maui County,B,BMUS,Lutjanidae,NA,Ehu,83,8582
2013,2,Maui County,B,BMUS,Lutjanidae,NA,Ehu,78,10180
2014,2,Maui County,B,BMUS,Lutjanidae,NA,Ehu,78,11005
2015,2,Maui County,B,BMUS,Lutjanidae,NA,Ehu,66,11156
2016,2,Maui County,B,BMUS,Lutjanidae,NA,Ehu,67,14205
2012,3,Oahu,B,BMUS,Lutjanidae,NA,Ehu,50,1688
2013,3,Oahu,B,BMUS,Lutjanidae,NA,Ehu,46,1239
2014,3,Oahu,B,BMUS,Lutjanidae,NA,Ehu,40,1520
2015,3,Oahu,B,BMUS,Lutjanidae,NA,Ehu,44,2204
2016,3,Oahu,B,BMUS,Lutjanidae,NA,Ehu,44,1974
2012,4,Kauai County,B,BMUS,Lutjanidae,NA,Ehu,51,4873
2013,4,Kauai County,B,BMUS,Lutjanidae,NA,Ehu,40,3195
2014,4,Kauai County,B,BMUS,Lutjanidae,NA,Ehu,39,3567
2015,4,Kauai County,B,BMUS,Lutjanidae,NA,Ehu,34,3476
2016,4,Kauai County,B,BMUS,Lutjanidae,NA,Ehu,33,4182
2012,NA,Other offshore,B,BMUS,Lutjanidae,NA,Ehu,3,57
2012,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Ehu,59,4956
2013,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Ehu,56,5720
2014,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Ehu,48,4503
2015,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Ehu,45,3435
2016,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Ehu,40,4176
2012,1,Hawaii,B,BMUS,Lutjanidae,NA,Gindai,72,1671
2013,1,Hawaii,B,BMUS,Lutjanidae,NA,Gindai,73,2035
2014,1,Hawaii,B,BMUS,Lutjanidae,NA,Gindai,61,1505
2015,1,Hawaii,B,BMUS,Lutjanidae,NA,Gindai,49,1229
2016,1,Hawaii,B,BMUS,Lutjanidae,NA,Gindai,58,841
2012,2,Maui County,B,BMUS,Lutjanidae,NA,Gindai,29,218
2013,2,Maui County,B,BMUS,Lutjanidae,NA,Gindai,23,212
2014,2,Maui County,B,BMUS,Lutjanidae,NA,Gindai,21,224
2015,2,Maui County,B,BMUS,Lutjanidae,NA,Gindai,27,214
2016,2,Maui County,B,BMUS,Lutjanidae,NA,Gindai,15,119
2012,3,Oahu,B,BMUS,Lutjanidae,NA,Gindai,24,153
2013,3,Oahu,B,BMUS,Lutjanidae,NA,Gindai,19,103
2014,3,Oahu,B,BMUS,Lutjanidae,NA,Gindai,18,73
2015,3,Oahu,B,BMUS,Lutjanidae,NA,Gindai,16,158
2016,3,Oahu,B,BMUS,Lutjanidae,NA,Gindai,22,177
2012,4,Kauai County,B,BMUS,Lutjanidae,NA,Gindai,47,1330
2013,4,Kauai County,B,BMUS,Lutjanidae,NA,Gindai,30,882
2014,4,Kauai County,B,BMUS,Lutjanidae,NA,Gindai,30,926
2015,4,Kauai County,B,BMUS,Lutjanidae,NA,Gindai,24,502
2016,4,Kauai County,B,BMUS,Lutjanidae,NA,Gindai,22,761
2012,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Gindai,32,423
2013,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Gindai,25,416
2014,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Gindai,23,324
2015,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Gindai,26,213
2016,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Gindai,22,295
2012,1,Hawaii,B,BMUS,Lutjanidae,NA,Kalekale,80,3479
2013,1,Hawaii,B,BMUS,Lutjanidae,NA,Kalekale,85,6933
2014,1,Hawaii,B,BMUS,Lutjanidae,NA,Kalekale,89,7165
2015,1,Hawaii,B,BMUS,Lutjanidae,NA,Kalekale,80,5749
2016,1,Hawaii,B,BMUS,Lutjanidae,NA,Kalekale,71,4502
2012,2,Maui County,B,BMUS,Lutjanidae,NA,Kalekale,51,4279
2013,2,Maui County,B,BMUS,Lutjanidae,NA,Kalekale,58,3846
2014,2,Maui County,B,BMUS,Lutjanidae,NA,Kalekale,56,5382
2015,2,Maui County,B,BMUS,Lutjanidae,NA,Kalekale,49,3243
2016,2,Maui County,B,BMUS,Lutjanidae,NA,Kalekale,36,2227
2012,3,Oahu,B,BMUS,Lutjanidae,NA,Kalekale,24,305
2013,3,Oahu,B,BMUS,Lutjanidae,NA,Kalekale,28,406
2014,3,Oahu,B,BMUS,Lutjanidae,NA,Kalekale,26,848
2015,3,Oahu,B,BMUS,Lutjanidae,NA,Kalekale,29,890
2016,3,Oahu,B,BMUS,Lutjanidae,NA,Kalekale,25,614
2012,4,Kauai County,B,BMUS,Lutjanidae,NA,Kalekale,35,2311
2013,4,Kauai County,B,BMUS,Lutjanidae,NA,Kalekale,27,1122
2014,4,Kauai County,B,BMUS,Lutjanidae,NA,Kalekale,30,1881
2015,4,Kauai County,B,BMUS,Lutjanidae,NA,Kalekale,22,1336
2016,4,Kauai County,B,BMUS,Lutjanidae,NA,Kalekale,22,1527
2012,NA,Other offshore,B,BMUS,Lutjanidae,NA,Kalekale,4,281
2014,NA,Other offshore,B,BMUS,Lutjanidae,NA,Kalekale,3,149
2012,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Kalekale,48,2683
2013,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Kalekale,47,2398
2014,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Kalekale,37,3134
2015,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Kalekale,30,2496
2016,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Kalekale,32,2097
2012,1,Hawaii,B,BMUS,Lutjanidae,NA,Lehi,83,5494
2013,1,Hawaii,B,BMUS,Lutjanidae,NA,Lehi,71,9888
2014,1,Hawaii,B,BMUS,Lutjanidae,NA,Lehi,72,4718
2015,1,Hawaii,B,BMUS,Lutjanidae,NA,Lehi,79,5716
2016,1,Hawaii,B,BMUS,Lutjanidae,NA,Lehi,76,6073
2012,2,Maui County,B,BMUS,Lutjanidae,NA,Lehi,24,3760
2013,2,Maui County,B,BMUS,Lutjanidae,NA,Lehi,26,2962
2014,2,Maui County,B,BMUS,Lutjanidae,NA,Lehi,38,3067
2015,2,Maui County,B,BMUS,Lutjanidae,NA,Lehi,30,5157
2016,2,Maui County,B,BMUS,Lutjanidae,NA,Lehi,22,1861
2012,3,Oahu,B,BMUS,Lutjanidae,NA,Lehi,4,78
2013,3,Oahu,B,BMUS,Lutjanidae,NA,Lehi,8,116
2014,3,Oahu,B,BMUS,Lutjanidae,NA,Lehi,7,265
2015,3,Oahu,B,BMUS,Lutjanidae,NA,Lehi,3,40
2016,3,Oahu,B,BMUS,Lutjanidae,NA,Lehi,8,70
2012,4,Kauai County,B,BMUS,Lutjanidae,NA,Lehi,6,469
2013,4,Kauai County,B,BMUS,Lutjanidae,NA,Lehi,4,133
2014,4,Kauai County,B,BMUS,Lutjanidae,NA,Lehi,6,198
2015,4,Kauai County,B,BMUS,Lutjanidae,NA,Lehi,4,119
2016,4,Kauai County,B,BMUS,Lutjanidae,NA,Lehi,4,201
2012,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Lehi,9,200
2013,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Lehi,11,220
2014,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Lehi,12,295
2015,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Lehi,8,129
2016,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Lehi,12,429
2012,1,Hawaii,B,BMUS,Lutjanidae,NA,Onaga,63,6799
2013,1,Hawaii,B,BMUS,Lutjanidae,NA,Onaga,71,10435
2014,1,Hawaii,B,BMUS,Lutjanidae,NA,Onaga,70,9860
2015,1,Hawaii,B,BMUS,Lutjanidae,NA,Onaga,66,6748
2016,1,Hawaii,B,BMUS,Lutjanidae,NA,Onaga,61,12121
2012,2,Maui County,B,BMUS,Lutjanidae,NA,Onaga,83,31209
2013,2,Maui County,B,BMUS,Lutjanidae,NA,Onaga,76,38339
2014,2,Maui County,B,BMUS,Lutjanidae,NA,Onaga,79,42864
2015,2,Maui County,B,BMUS,Lutjanidae,NA,Onaga,57,25363
2016,2,Maui County,B,BMUS,Lutjanidae,NA,Onaga,61,18043
2012,3,Oahu,B,BMUS,Lutjanidae,NA,Onaga,46,3148
2013,3,Oahu,B,BMUS,Lutjanidae,NA,Onaga,40,3429
2014,3,Oahu,B,BMUS,Lutjanidae,NA,Onaga,42,4758
2015,3,Oahu,B,BMUS,Lutjanidae,NA,Onaga,36,3424
2016,3,Oahu,B,BMUS,Lutjanidae,NA,Onaga,36,3843
2012,4,Kauai County,B,BMUS,Lutjanidae,NA,Onaga,31,4473
2013,4,Kauai County,B,BMUS,Lutjanidae,NA,Onaga,27,4336
2014,4,Kauai County,B,BMUS,Lutjanidae,NA,Onaga,28,6738
2015,4,Kauai County,B,BMUS,Lutjanidae,NA,Onaga,23,3762
2016,4,Kauai County,B,BMUS,Lutjanidae,NA,Onaga,16,3571
2012,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Onaga,52,14795
2013,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Onaga,54,16319
2014,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Onaga,39,15058
2015,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Onaga,32,10861
2016,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Onaga,36,8854
2012,1,Hawaii,B,BMUS,Lutjanidae,NA,Opakapaka,123,20533
2013,1,Hawaii,B,BMUS,Lutjanidae,NA,Opakapaka,123,26819
2014,1,Hawaii,B,BMUS,Lutjanidae,NA,Opakapaka,126,32921
2015,1,Hawaii,B,BMUS,Lutjanidae,NA,Opakapaka,115,28686
2016,1,Hawaii,B,BMUS,Lutjanidae,NA,Opakapaka,113,36125
2012,2,Maui County,B,BMUS,Lutjanidae,NA,Opakapaka,106,62535
2013,2,Maui County,B,BMUS,Lutjanidae,NA,Opakapaka,100,71081
2014,2,Maui County,B,BMUS,Lutjanidae,NA,Opakapaka,103,86585
2015,2,Maui County,B,BMUS,Lutjanidae,NA,Opakapaka,92,69638
2016,2,Maui County,B,BMUS,Lutjanidae,NA,Opakapaka,83,61500
2012,3,Oahu,B,BMUS,Lutjanidae,NA,Opakapaka,50,5630
2013,3,Oahu,B,BMUS,Lutjanidae,NA,Opakapaka,50,9003
2014,3,Oahu,B,BMUS,Lutjanidae,NA,Opakapaka,47,17850
2015,3,Oahu,B,BMUS,Lutjanidae,NA,Opakapaka,44,11109
2016,3,Oahu,B,BMUS,Lutjanidae,NA,Opakapaka,46,9178
2012,4,Kauai County,B,BMUS,Lutjanidae,NA,Opakapaka,34,2535
2013,4,Kauai County,B,BMUS,Lutjanidae,NA,Opakapaka,27,1729
2014,4,Kauai County,B,BMUS,Lutjanidae,NA,Opakapaka,28,3756
2015,4,Kauai County,B,BMUS,Lutjanidae,NA,Opakapaka,22,6862
2016,4,Kauai County,B,BMUS,Lutjanidae,NA,Opakapaka,19,5576
2012,NA,Other offshore,B,BMUS,Lutjanidae,NA,Opakapaka,3,1694
2014,NA,Other offshore,B,BMUS,Lutjanidae,NA,Opakapaka,3,2167
2012,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Opakapaka,65,16362
2013,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Opakapaka,56,14249
2014,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Opakapaka,55,22041
2015,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Opakapaka,43,12472
2016,2,Penguin Bank,B,BMUS,Lutjanidae,NA,Opakapaka,58,16274
2012,1,Hawaii,R,BMUS,Lutjanidae,NA,Taape,99,8060
2013,1,Hawaii,R,BMUS,Lutjanidae,NA,Taape,96,4882
2014,1,Hawaii,R,BMUS,Lutjanidae,NA,Taape,80,3490
2015,1,Hawaii,R,BMUS,Lutjanidae,NA,Taape,73,3107
2016,1,Hawaii,R,BMUS,Lutjanidae,NA,Taape,68,3610
2012,2,Maui County,R,BMUS,Lutjanidae,NA,Taape,62,10386
2013,2,Maui County,R,BMUS,Lutjanidae,NA,Taape,46,8063
2014,2,Maui County,R,BMUS,Lutjanidae,NA,Taape,51,6534
2015,2,Maui County,R,BMUS,Lutjanidae,NA,Taape,42,1608
2016,2,Maui County,R,BMUS,Lutjanidae,NA,Taape,40,1188
2012,3,Oahu,R,BMUS,Lutjanidae,NA,Taape,85,11731
2013,3,Oahu,R,BMUS,Lutjanidae,NA,Taape,75,16488
2014,3,Oahu,R,BMUS,Lutjanidae,NA,Taape,90,16895
2015,3,Oahu,R,BMUS,Lutjanidae,NA,Taape,77,19387
2016,3,Oahu,R,BMUS,Lutjanidae,NA,Taape,65,26832
2012,4,Kauai County,R,BMUS,Lutjanidae,NA,Taape,44,2627
2013,4,Kauai County,R,BMUS,Lutjanidae,NA,Taape,38,3272
2014,4,Kauai County,R,BMUS,Lutjanidae,NA,Taape,30,3166
2015,4,Kauai County,R,BMUS,Lutjanidae,NA,Taape,30,1560
2016,4,Kauai County,R,BMUS,Lutjanidae,NA,Taape,32,2919
2012,2,Penguin Bank,R,BMUS,Lutjanidae,NA,Taape,15,199
2013,2,Penguin Bank,R,BMUS,Lutjanidae,NA,Taape,17,193
2014,2,Penguin Bank,R,BMUS,Lutjanidae,NA,Taape,17,172
2015,2,Penguin Bank,R,BMUS,Lutjanidae,NA,Taape,11,199
2016,2,Penguin Bank,R,BMUS,Lutjanidae,NA,Taape,11,296
2012,1,Hawaii,R,BMUS,Lutjanidae,NA,Uku,119,9518
2013,1,Hawaii,R,BMUS,Lutjanidae,NA,Uku,125,11998
2014,1,Hawaii,R,BMUS,Lutjanidae,NA,Uku,115,13894
2015,1,Hawaii,R,BMUS,Lutjanidae,NA,Uku,133,16984
2016,1,Hawaii,R,BMUS,Lutjanidae,NA,Uku,137,19236
2012,2,Maui County,R,BMUS,Lutjanidae,NA,Uku,107,17523
2013,2,Maui County,R,BMUS,Lutjanidae,NA,Uku,92,19904
2014,2,Maui County,R,BMUS,Lutjanidae,NA,Uku,90,18340
2015,2,Maui County,R,BMUS,Lutjanidae,NA,Uku,95,20737
2016,2,Maui County,R,BMUS,Lutjanidae,NA,Uku,91,31351
2012,3,Oahu,R,BMUS,Lutjanidae,NA,Uku,75,7908
2013,3,Oahu,R,BMUS,Lutjanidae,NA,Uku,76,6848
2014,3,Oahu,R,BMUS,Lutjanidae,NA,Uku,88,7204
2015,3,Oahu,R,BMUS,Lutjanidae,NA,Uku,98,8370
2016,3,Oahu,R,BMUS,Lutjanidae,NA,Uku,59,7355
2012,4,Kauai County,R,BMUS,Lutjanidae,NA,Uku,68,30512
2013,4,Kauai County,R,BMUS,Lutjanidae,NA,Uku,68,28709
2014,4,Kauai County,R,BMUS,Lutjanidae,NA,Uku,57,28979
2015,4,Kauai County,R,BMUS,Lutjanidae,NA,Uku,57,21202
2016,4,Kauai County,R,BMUS,Lutjanidae,NA,Uku,52,16516
2012,NA,Other offshore,R,BMUS,Lutjanidae,NA,Uku,4,3116
2013,NA,Other offshore,R,BMUS,Lutjanidae,NA,Uku,3,1699
2014,NA,Other offshore,R,BMUS,Lutjanidae,NA,Uku,4,859
2015,NA,Other offshore,R,BMUS,Lutjanidae,NA,Uku,3,637
2016,NA,Other offshore,R,BMUS,Lutjanidae,NA,Uku,4,530
2012,2,Penguin Bank,R,BMUS,Lutjanidae,NA,Uku,56,48216
2013,2,Penguin Bank,R,BMUS,Lutjanidae,NA,Uku,50,51553
2014,2,Penguin Bank,R,BMUS,Lutjanidae,NA,Uku,52,27552
2015,2,Penguin Bank,R,BMUS,Lutjanidae,NA,Uku,52,34008
2016,2,Penguin Bank,R,BMUS,Lutjanidae,NA,Uku,47,42752
2012,1,Hawaii,B,BMUS,Serranidae,NA,Hapuupuu,54,2749
2013,1,Hawaii,B,BMUS,Serranidae,NA,Hapuupuu,58,3363
2014,1,Hawaii,B,BMUS,Serranidae,NA,Hapuupuu,49,2050
2015,1,Hawaii,B,BMUS,Serranidae,NA,Hapuupuu,39,2623
2016,1,Hawaii,B,BMUS,Serranidae,NA,Hapuupuu,45,2452
2012,2,Maui County,B,BMUS,Serranidae,NA,Hapuupuu,42,1759
2013,2,Maui County,B,BMUS,Serranidae,NA,Hapuupuu,42,2542
2014,2,Maui County,B,BMUS,Serranidae,NA,Hapuupuu,45,1988
2015,2,Maui County,B,BMUS,Serranidae,NA,Hapuupuu,38,2720
2016,2,Maui County,B,BMUS,Serranidae,NA,Hapuupuu,34,1904
2012,3,Oahu,B,BMUS,Serranidae,NA,Hapuupuu,19,500
2013,3,Oahu,B,BMUS,Serranidae,NA,Hapuupuu,24,398
2014,3,Oahu,B,BMUS,Serranidae,NA,Hapuupuu,21,450
2015,3,Oahu,B,BMUS,Serranidae,NA,Hapuupuu,22,803
2016,3,Oahu,B,BMUS,Serranidae,NA,Hapuupuu,21,625
2012,4,Kauai County,B,BMUS,Serranidae,NA,Hapuupuu,30,1822
2013,4,Kauai County,B,BMUS,Serranidae,NA,Hapuupuu,23,2265
2014,4,Kauai County,B,BMUS,Serranidae,NA,Hapuupuu,21,3178
2015,4,Kauai County,B,BMUS,Serranidae,NA,Hapuupuu,24,1654
2016,4,Kauai County,B,BMUS,Serranidae,NA,Hapuupuu,17,2602
2012,NA,Other offshore,B,BMUS,Serranidae,NA,Hapuupuu,3,3186
2014,NA,Other offshore,B,BMUS,Serranidae,NA,Hapuupuu,4,1855
2012,2,Penguin Bank,B,BMUS,Serranidae,NA,Hapuupuu,29,735
2013,2,Penguin Bank,B,BMUS,Serranidae,NA,Hapuupuu,15,551
2014,2,Penguin Bank,B,BMUS,Serranidae,NA,Hapuupuu,14,419
2015,2,Penguin Bank,B,BMUS,Serranidae,NA,Hapuupuu,12,229
2016,2,Penguin Bank,B,BMUS,Serranidae,NA,Hapuupuu,19,546
