time,longitude,latitude,location_id,location_name,number_concentration_of_enterococcus_in_sea_water,number_concentration_of_clostridium_perfringens_in_sea_water,sea_water_quality_alert,sea_water_temperature,sea_water_salinity,sea_water_turbidity,sea_water_ph_reported_on_total_scale,mass_concentration_of_oxygen_in_sea_water,fractional_saturation_of_oxygen_in_sea_water
2011-01-10T16:43:00Z,-157.8395,21.281519,155,"Kahanamoku Beach, Waikiki",2.3,1,0,22.2,34.49,13.4,7.7,5.83,82.7
2011-01-10T16:52:00Z,-156.45363,20.731112,679,Kalama Beach,2.3,1,0,22.64,33.63,3.63,8.14,6.56,93.4
2011-01-10T17:00:00Z,-157.8279,21.276657,238,"Moana Beach, Waikiki",10,1,0,22.96,34.46,6.08,7.92,6.12,88
2011-01-10T17:05:00Z,-156.44974,20.727503,703,Cove Park,2.3,1,0,22.83,31.52,3.96,8.12,6.09,85.8
2011-01-10T17:11:00Z,-157.82303,21.271482,161,"Kuhio Beach, Waikiki",10,1,0,22.72,34.52,3.02,7.95,5.74,82.3
2011-01-10T17:16:00Z,-156.44917,20.72474,681,Kamaole Beach #1,10,1,0,23.33,34.77,2.03,8.21,6.41,92.8
2011-01-10T17:21:00Z,-157.82265,21.267614,162,"Public Bath Beach, Waikiki",64,1,0,22.75,34.89,13,8.02,6.19,89
2011-01-10T17:31:00Z,-157.82204,21.263554,228,Sans Souci,10,1,0,22.97,34.9,5.3,8.03,5.77,83.2
2011-01-10T17:58:00Z,-157.84622,21.283056,222,Ala Moana Lagoon,2.3,7,0,23.28,34.77,1.58,8.08,5.97,86.6
2011-01-10T18:11:00Z,-157.84616,21.287458,154,"Ala Moana Park, D.H.",2.3,2,0,22.68,34.88,7.83,8.12,6.07,87.1
2011-01-10T18:19:00Z,-157.84982,21.289448,153,"Ala Moana Park, Center",10,1,1,22.2,34.93,45,8.11,5.93,84.3
2011-01-10T18:55:00Z,-159.60847,21.900307,808,Hanapepe Salt Pond,20,9,0,23.49,34.56,2.74,7.95,6.29,91.4
2011-01-10T19:10:00Z,-155.96703,19.579323,1203,Kahaluu Beach Park,10,NaN,0,23.91,33.48,1.16,8.15,6.55,93.1
2011-01-10T19:15:00Z,-154.8325,19.468067,1143,Ahalanui (Pualaa) Beach Park,20,11,0,32.9,17.92,0.27,7.45,4.76,73.7
2011-01-10T19:25:00Z,-154.82,19.488077,1142,Vacationland,10,1,0,23.97,27.5,0.29,7.89,4.84,67.5
2011-01-10T19:40:00Z,-155.99669,19.63956,1205,Kailua Pier Sta. A-1,2.3,NaN,0,24.18,33.42,0.8,8.13,5.65,82.1
2011-01-10T19:50:00Z,-155.99744,19.639536,1208,Kailua Pier Sta. D,2.3,1.2,0,23.31,31.32,1.91,8.11,5.68,80.7
2011-01-10T20:04:00Z,-159.45406,21.87325,819,Poipu Beach Pavilion,10,16,0,23.2,34.47,2.65,8,6.34,91.6
2011-01-10T20:35:00Z,-155.01335,19.735847,1136,Richardson Ocean Center,2.3,1,0,23.37,31.73,0.7,8.22,6.84,93.3
2011-01-10T20:40:00Z,-155.01361,19.735289,1139,Richardson Ocean Center (Hilo side),2.3,1,0,22.87,26,0.91,8.23,7.06,96.4
2011-01-10T20:50:00Z,-155.88766,19.914223,1236,Anaehoomalu Bay,2.3,NaN,0,24.91,28.65,2.33,8.09,5.98,86
2011-01-10T20:52:00Z,-159.35062,21.960417,809,Kalapaki Beach Park,10,1,0,23.35,32.93,2.47,8.07,6.27,89.9
2011-01-10T20:53:00Z,-155.02806,19.733904,1114,Keaukaha Beach - 4 Miles,10,1,0,22.88,26.14,0.34,8.11,6.6,90.2
2011-01-10T21:04:00Z,-155.03752,19.737783,1126,Onekahakaha Beach Swimming Area,2.3,1,0,24.38,32.25,0.8,8.2,7.43,108.1
2011-01-10T21:11:00Z,-159.33472,22.04139,825,Lydgate Park,2.3,2,0,23.12,34.98,1.77,8.04,6.37,92.1
2011-01-10T21:14:00Z,-155.0464,19.731407,1129,Puhi Bay #2,2.3,1,0,21.88,24.06,0.62,8.15,6.79,90
2011-01-10T21:20:00Z,-155.84569,19.968666,1222,Puako Middle of Lot,2.3,NaN,0,25.33,29.32,2.19,8.21,7.13,103.3
2011-01-10T21:35:00Z,-155.07474,19.72334,1138,Hilo Bay (Canoe Beach),10,3,0,23.79,27.6,3.94,8.08,6.18,86.5
2011-01-10T21:48:00Z,-155.08612,19.726692,1107,Hilo Bay (Lighthouse),2.3,1,0,24.16,29.92,2.77,8.15,6.45,92.1
2011-01-10T22:02:00Z,-155.09084,19.755278,1110,Honolii Cove (Ocean),2.3,1,0,23.83,28.89,0.52,8.32,6.9,97.5
2011-01-10T22:10:00Z,-159.4985,22.207306,805,Hanalei Bay Pavilion,2.3,1,0,23.53,31.77,3.06,8.06,6.37,91.1
2011-01-10T22:20:00Z,-155.82446,20.027512,1246,Pelekane,10,NaN,0,25.62,32.97,22.4,7.92,5.02,74.9
2011-01-11T15:41:00Z,-156.4714,20.891136,654,Hukilau Hotel Shoreline,254,13,1,22.66,32.31,14.4,7.96,6.7,94.5
2011-01-11T16:01:00Z,-156.43584,20.903078,677,Kanaha Beach,2.3,1,0,22.67,34,5.93,7.98,6.04,86.4
2011-01-11T16:25:00Z,-156.40334,20.91308,700,Spreckelsville Beach,2.3,1,0,22.98,34.75,1.62,8.06,6.39,92.1
2011-01-11T16:55:00Z,-156.50307,20.7964,687,Maalaea Condos,1652,18,1,23,33.57,97,8.09,6.11,87.1
2011-01-11T17:31:00Z,-156.68916,20.910017,693,Hanakaoo,20,3,0,24,34.88,1.02,8.16,6.18,90.4
2011-01-11T17:51:00Z,-156.65279,20.842241,694,Launiupoko,10,2,0,23.63,34.93,5.49,8.15,6.17,90.1
2011-01-11T18:18:00Z,-157.69655,21.271523,201,Hanauma Beach Park,2.3,1,0,22.2,34.56,4.73,7.84,3.98,57.4
2011-01-11T18:26:00Z,-156.45778,20.747232,676,Kihei (South),164,41,1,22.58,32.31,16.1,8.11,5.96,84.6
2011-01-11T18:38:00Z,-156.44917,20.72474,681,Kamaole Beach #1,2.3,1,0,24.08,34.96,2.96,8.23,6.26,92
2011-01-11T18:48:00Z,-157.67279,21.285646,200,Sandy Beach Pt. No. 1,2.3,1,0,23.28,34.62,1.57,8.05,5.39,84.3
2011-01-11T18:49:00Z,-156.44667,20.713614,683,Kamaole Beach #3,2.3,1,0,24.03,34.96,9.26,8.22,6.1,89.5
2011-01-11T19:04:00Z,-156.44333,20.681406,691,Wailea Beach,42,1,0,23.97,35.18,2.02,8.22,6.02,88.4
2011-01-11T19:13:00Z,-157.66052,21.312021,216,Makapuu,2.3,1,0,23.55,34.78,0.65,8.1,5.31,70.5
2011-01-11T19:35:00Z,-157.69342,21.33246,197,Waimanalo Beach,2.3,1,0,22.64,34.51,16.6,8.13,5.55,74.8
2011-01-11T20:00:00Z,-155.86047,19.955917,1249,Holoholokai Beach Park,2.3,NaN,0,25.28,34.36,2.2,8.15,5.73,85.8
2011-01-11T20:20:00Z,-155.86111,19.952723,1250,Pauoa Bay,2.3,NaN,0,25.74,28.11,2.65,8.13,5.31,76.8
2011-01-11T20:25:00Z,-157.72786,21.398495,193,Kailua Beach Park,2.3,4,0,22.16,34.34,13.5,8.13,5.65,78.6
2011-01-11T21:15:00Z,-155.8251,20.00361,1243,Mauna Kea Beach South End,2.3,NaN,0,25.92,34.62,2.05,8.05,6.14,91
2011-01-11T21:45:00Z,-155.8228,20.024029,1225,Spencer Beach Park,2.3,NaN,0,26.67,27.07,2.3,8.03,5.88,86.6
2011-01-11T22:15:00Z,-155.82979,20.031464,1238,Kawaihae LST Landing,2.3,NaN,0,26.02,35,6.01,8.01,6.64,101.2
2011-01-12T18:17:00Z,-159.60847,21.900307,808,Hanapepe Salt Pond,2.3,4,0,23.31,33.74,6.92,7.96,0,0
2011-01-12T18:38:00Z,-159.50441,22.203222,833,Waioli Beach Park,2.3,3,0,23.61,31.92,0,0,8.44,120.9
2011-01-12T18:50:00Z,-159.4985,22.207306,805,Hanalei Bay Pavilion,20,1,0,23.71,31.71,0,0,8.32,118.6
2011-01-12T19:00:00Z,-154.8325,19.468067,1143,Ahalanui (Pualaa) Beach Park,20,6,0,32.3,15.66,0.17,7.49,5.1,76.7
2011-01-12T19:02:00Z,-159.49715,22.212694,804,Hanalei Bay Landing,10,3,0,23.51,29.52,0,0,9.08,127.2
2011-01-12T19:07:00Z,-159.45406,21.87325,819,Poipu Beach Pavilion,124,23,1,24.31,34.53,7.21,8.06,0,0
2011-01-12T19:10:00Z,-155.96703,19.579323,1203,Kahaluu Beach Park,10,NaN,0,24.76,35.29,2.51,8.16,6.14,91.7
2011-01-12T19:11:00Z,-159.49594,22.2135,839,End of Weke Road,207,8,1,20.52,6.85,0,0,8.57,99.3
2011-01-12T19:15:00Z,-159.45105,21.873,802,Brennecke Beach,31,33,0,24.48,34.84,8.88,8.08,0,0
2011-01-12T19:28:00Z,-154.81667,19.501682,1145,"Kapoho, Champagne Pond",2005,1,1,29.56,8.23,0.23,7.83,6.01,83
2011-01-12T19:39:00Z,-159.44653,22.224112,801,Anini Beach Park Pavilion,20,15,0,23.67,31.93,0,0,6.9,98.1
2011-01-12T19:45:00Z,-155.99669,19.63956,1205,Kailua Pier Sta. A-1,10,NaN,0,24.78,34.33,4.62,8.18,6.27,85.2
2011-01-12T19:55:00Z,-155.99744,19.639536,1208,Kailua Pier Sta. D,10,4,0,23.5,31.41,6.63,8.14,5.94,84.7
2011-01-12T19:57:00Z,-159.42792,22.216417,811,Kalihiwai Bay Beach Park,222,6,1,21.84,17.34,0,0,7.68,97.7
2011-01-12T19:57:00Z,-159.35297,21.953306,817,Nawiliwili Harbor,99,4,0,24.11,33.85,4.45,8.08,0,0
2011-01-12T20:18:00Z,-159.35062,21.960417,809,Kalapaki Beach Park,2005,50,1,23.82,30.99,21.8,8.08,0,0
2011-01-12T20:35:00Z,-155.01335,19.735847,1136,Richardson Ocean Center,10,1,0,23.59,30.18,0.75,8.17,7.07,99.9
2011-01-12T20:42:00Z,-159.33472,22.04139,825,Lydgate Park,53,1,0,23.88,33.92,3.17,8.05,0,0
2011-01-12T20:45:00Z,-155.02806,19.733904,1114,Keaukaha Beach - 4 Miles,406,5,1,21.86,20.47,0.37,8.11,7.21,93.4
2011-01-12T20:55:00Z,-155.03752,19.737783,1126,Onekahakaha Beach Swimming Area,2.3,3,0,23.67,28.17,1.36,8.22,7.31,102.8
2011-01-12T21:00:00Z,-155.88766,19.914223,1236,Anaehoomalu Bay,2.3,NaN,0,24.97,31.55,7.73,8.15,5.9,86.5
2011-01-12T21:01:00Z,-159.31598,22.076471,812,Kapaa Pavilion,2005,48,1,23.48,32.5,8.76,8.02,0,0
2011-01-12T21:04:00Z,-155.04224,19.736406,1130,Puhi Bay #3,2.3,1,0,24.51,34.76,0.63,8.23,6.85,101.5
2011-01-12T21:21:00Z,-159.3002,22.146221,800,Anahola Bay Pavilion,2.3,1,0,24.12,34.67,4.92,8.06,0,0
2011-01-12T21:25:00Z,-155.84569,19.968666,1222,Puako Middle of Lot,2.3,NaN,0,25.11,34.2,1.77,8.31,6.2,92.5
2011-01-12T21:30:00Z,-155.06253,19.724726,1102,Exit of Ice Pond,31,2,0,21.09,11.54,0.31,7.71,6.76,81.5
2011-01-12T21:38:00Z,-155.06778,19.728617,1101,Coconut Island,10,1,0,24.33,33.52,0.92,8.15,6.38,93.4
2011-01-12T21:58:00Z,-155.07474,19.72334,1138,Hilo Bay (Canoe Beach),10,3,0,24.29,31.15,5.26,8.09,5.83,84.3
2011-01-12T22:20:00Z,-156.00667,19.810223,1252,Kua Bay,659,0.2,1,24.88,35.3,2.85,8.27,6.08,90.9
2011-01-12T22:25:00Z,-155.09084,19.755278,1110,Honolii Cove (Ocean),2.3,1,0,23.84,30.62,1.01,8.28,7.12,101.8
2011-01-13T20:45:00Z,-156.00667,19.810223,1252,Kua Bay,2.3,0.2,0,25.58,35.19,1.84,8.16,5.92,89.5
2011-01-18T15:49:00Z,-156.4714,20.891136,654,Hukilau Hotel Shoreline,10,2,0,23.95,33.7,8.59,8.04,6.65,96.7
2011-01-18T16:06:00Z,-156.43584,20.903078,677,Kanaha Beach,99,9,0,23.18,34.39,21.2,8.06,6.64,96
2011-01-18T16:34:00Z,-156.40334,20.91308,700,Spreckelsville Beach,20,2,0,23.73,35.09,4.79,8.09,6.58,96.7
2011-01-18T17:03:00Z,-156.50307,20.7964,687,Maalaea Condos,344,15,1,23.67,34.79,17.7,8.13,6.14,89.5
2011-01-18T17:14:00Z,-158.12457,21.337967,252,Ihilani-Kohola Lagoon,64,11,0,23.51,34.71,26.9,7.97,5.89,85.7
2011-01-18T17:30:00Z,-158.12375,21.335075,269,Ihilani Honu,2.3,3,0,24.15,35.04,13,7.99,6.1,90
2011-01-18T17:39:00Z,-156.68916,20.910017,693,Hanakaoo,207,1,1,23.77,35.39,17.2,8.16,6.45,94.7
2011-01-18T17:43:00Z,-158.12244,21.331991,268,Ihilani Naia,31,3,0,23.56,35.23,20.5,8.02,6,87.7
2011-01-18T17:56:00Z,-156.65279,20.842241,694,Launiupoko,53,3,0,23.81,35.32,4.84,8.14,6.11,90.1
2011-01-18T17:57:00Z,-158.12225,21.3287,296,Ihilani Ulua,64,7,0,23.88,35.25,19.3,8.03,6.08,89.4
2011-01-18T18:17:00Z,-159.60847,21.900307,808,Hanapepe Salt Pond,20,22,0,23,34.9,2.9,7.94,5.93,85.7
2011-01-18T18:32:00Z,-156.45778,20.747232,676,Kihei (South),306,7,1,23.91,34.21,13.3,8.13,6,87.9
2011-01-18T18:43:00Z,-156.44917,20.72474,681,Kamaole Beach #1,31,2,0,24.34,35.05,3.73,8.21,6.12,90.7
