year,rgn_id,island,code,mus,family,species,licenses,catch
2012,1,Hawaii,R,CHCRT,Acanthuridae,Palani,20,1349
2013,1,Hawaii,R,CHCRT,Acanthuridae,Palani,16,1545
2014,1,Hawaii,R,CHCRT,Acanthuridae,Palani,13,684
2015,1,Hawaii,R,CHCRT,Acanthuridae,Palani,14,650
2016,1,Hawaii,R,CHCRT,Acanthuridae,Palani,11,152
2012,2,Maui County,R,CHCRT,Acanthuridae,Palani,18,4542
2013,2,Maui County,R,CHCRT,Acanthuridae,Palani,11,3488
2014,2,Maui County,R,CHCRT,Acanthuridae,Palani,8,3634
2015,2,Maui County,R,CHCRT,Acanthuridae,Palani,13,3454
2016,2,Maui County,R,CHCRT,Acanthuridae,Palani,6,3336
2012,3,Oahu,R,CHCRT,Acanthuridae,Palani,46,30206
2013,3,Oahu,R,CHCRT,Acanthuridae,Palani,46,28256
2014,3,Oahu,R,CHCRT,Acanthuridae,Palani,46,27298
2015,3,Oahu,R,CHCRT,Acanthuridae,Palani,44,17107
2016,3,Oahu,R,CHCRT,Acanthuridae,Palani,31,19665
2014,4,Kauai County,R,CHCRT,Acanthuridae,Palani,3,52
2015,4,Kauai County,R,CHCRT,Acanthuridae,Palani,3,28
2012,1,Hawaii,R,CHCRT,Acanthuridae,Pualu,9,693
2013,1,Hawaii,R,CHCRT,Acanthuridae,Pualu,7,563
2014,1,Hawaii,R,CHCRT,Acanthuridae,Pualu,7,1573
2015,1,Hawaii,R,CHCRT,Acanthuridae,Pualu,5,601
2016,1,Hawaii,R,CHCRT,Acanthuridae,Pualu,3,452
2012,2,Maui County,R,CHCRT,Acanthuridae,Pualu,4,740
2013,2,Maui County,R,CHCRT,Acanthuridae,Pualu,6,408
2014,2,Maui County,R,CHCRT,Acanthuridae,Pualu,5,880
2015,2,Maui County,R,CHCRT,Acanthuridae,Pualu,3,890
2016,2,Maui County,R,CHCRT,Acanthuridae,Pualu,3,680
2012,3,Oahu,R,CHCRT,Acanthuridae,Pualu,22,11329
2013,3,Oahu,R,CHCRT,Acanthuridae,Pualu,19,6907
2014,3,Oahu,R,CHCRT,Acanthuridae,Pualu,22,4718
2015,3,Oahu,R,CHCRT,Acanthuridae,Pualu,17,3787
2016,3,Oahu,R,CHCRT,Acanthuridae,Pualu,11,3221
2012,1,Hawaii,R,CHCRT,Acanthuridae,Umaumalei,11,435
2013,1,Hawaii,R,CHCRT,Acanthuridae,Umaumalei,6,120
2012,2,Maui County,R,CHCRT,Acanthuridae,Umaumalei,3,2802
2013,2,Maui County,R,CHCRT,Acanthuridae,Umaumalei,3,2076
2014,2,Maui County,R,CHCRT,Acanthuridae,Umaumalei,3,1748
2015,2,Maui County,R,CHCRT,Acanthuridae,Umaumalei,3,2401
2016,2,Maui County,R,CHCRT,Acanthuridae,Umaumalei,3,2250
2012,3,Oahu,R,CHCRT,Acanthuridae,Umaumalei,18,675
2013,3,Oahu,R,CHCRT,Acanthuridae,Umaumalei,19,1968
2014,3,Oahu,R,CHCRT,Acanthuridae,Umaumalei,13,919
2015,3,Oahu,R,CHCRT,Acanthuridae,Umaumalei,6,366
2016,3,Oahu,R,CHCRT,Acanthuridae,Umaumalei,6,1098
2013,1,Hawaii,R,PHCRT,Albulidae,Oio,6,22
2015,1,Hawaii,R,PHCRT,Albulidae,Oio,6,124
2016,1,Hawaii,R,PHCRT,Albulidae,Oio,5,90
2012,2,Maui County,R,PHCRT,Albulidae,Oio,7,402
2013,2,Maui County,R,PHCRT,Albulidae,Oio,7,1220
2014,2,Maui County,R,PHCRT,Albulidae,Oio,6,535
2015,2,Maui County,R,PHCRT,Albulidae,Oio,10,749
2016,2,Maui County,R,PHCRT,Albulidae,Oio,5,728
2012,3,Oahu,R,PHCRT,Albulidae,Oio,32,10160
2013,3,Oahu,R,PHCRT,Albulidae,Oio,28,9901
2014,3,Oahu,R,PHCRT,Albulidae,Oio,25,5480
2015,3,Oahu,R,PHCRT,Albulidae,Oio,25,6729
2016,3,Oahu,R,PHCRT,Albulidae,Oio,16,4322
2014,4,Kauai County,R,PHCRT,Albulidae,Oio,5,1848
2016,4,Kauai County,R,PHCRT,Albulidae,Oio,4,434
2012,1,Hawaii,R,PHCRT,Aulostamidae,Nunu,3,69
2013,1,Hawaii,R,PHCRT,Aulostamidae,Nunu,4,72
2016,1,Hawaii,R,PHCRT,Aulostamidae,Nunu,4,67
2012,3,Oahu,R,PHCRT,Aulostamidae,Nunu,15,130
2013,3,Oahu,R,PHCRT,Aulostamidae,Nunu,13,138
2014,3,Oahu,R,PHCRT,Aulostamidae,Nunu,14,211
2015,3,Oahu,R,PHCRT,Aulostamidae,Nunu,9,121
2016,3,Oahu,R,PHCRT,Aulostamidae,Nunu,8,60
2012,1,Hawaii,R,CHCRT,Balistidae,Humuhumu,10,152
2013,1,Hawaii,R,CHCRT,Balistidae,Humuhumu,6,25
2014,1,Hawaii,R,CHCRT,Balistidae,Humuhumu,4,12
2016,1,Hawaii,R,CHCRT,Balistidae,Humuhumu,4,30
2012,2,Maui County,R,CHCRT,Balistidae,Humuhumu,8,79
2013,2,Maui County,R,CHCRT,Balistidae,Humuhumu,5,84
2014,2,Maui County,R,CHCRT,Balistidae,Humuhumu,5,31
2015,2,Maui County,R,CHCRT,Balistidae,Humuhumu,3,49
2016,2,Maui County,R,CHCRT,Balistidae,Humuhumu,6,62
2012,3,Oahu,R,CHCRT,Balistidae,Humuhumu,11,725
2013,3,Oahu,R,CHCRT,Balistidae,Humuhumu,15,618
2014,3,Oahu,R,CHCRT,Balistidae,Humuhumu,8,460
2015,3,Oahu,R,CHCRT,Balistidae,Humuhumu,4,416
2016,3,Oahu,R,CHCRT,Balistidae,Humuhumu,5,387
2015,4,Kauai County,R,CHCRT,Balistidae,Humuhumu,3,19
2012,1,Hawaii,R,PHCRT,Belonidae,Ahaaha,8,123
2013,1,Hawaii,R,PHCRT,Belonidae,Ahaaha,10,83
2015,1,Hawaii,R,PHCRT,Belonidae,Ahaaha,10,85
2016,1,Hawaii,R,PHCRT,Belonidae,Ahaaha,4,45
2012,2,Maui County,R,PHCRT,Belonidae,Ahaaha,4,371
2013,2,Maui County,R,PHCRT,Belonidae,Ahaaha,4,102
2014,2,Maui County,R,PHCRT,Belonidae,Ahaaha,5,114
2012,3,Oahu,R,PHCRT,Belonidae,Ahaaha,14,427
2013,3,Oahu,R,PHCRT,Belonidae,Ahaaha,16,233
2014,3,Oahu,R,PHCRT,Belonidae,Ahaaha,26,341
2015,3,Oahu,R,PHCRT,Belonidae,Ahaaha,13,194
2016,3,Oahu,R,PHCRT,Belonidae,Ahaaha,11,301
2012,3,Oahu,R,PHCRT,Bothidae,Pakii,4,10
2013,3,Oahu,R,PHCRT,Bothidae,Pakii,3,14
2014,3,Oahu,R,PHCRT,Bothidae,Pakii,3,18
2012,1,Hawaii,C,CHCRT,Carangidae,Akule,58,18902
2013,1,Hawaii,C,CHCRT,Carangidae,Akule,59,14982
2014,1,Hawaii,C,CHCRT,Carangidae,Akule,61,13005
2015,1,Hawaii,C,CHCRT,Carangidae,Akule,59,17708
2016,1,Hawaii,C,CHCRT,Carangidae,Akule,57,20069
2012,2,Maui County,C,CHCRT,Carangidae,Akule,29,30101
2013,2,Maui County,C,CHCRT,Carangidae,Akule,27,38329
2014,2,Maui County,C,CHCRT,Carangidae,Akule,36,31804
2015,2,Maui County,C,CHCRT,Carangidae,Akule,30,30937
2016,2,Maui County,C,CHCRT,Carangidae,Akule,26,142269
2012,3,Oahu,C,CHCRT,Carangidae,Akule,87,180677
2013,3,Oahu,C,CHCRT,Carangidae,Akule,88,154330
2014,3,Oahu,C,CHCRT,Carangidae,Akule,83,171809
2015,3,Oahu,C,CHCRT,Carangidae,Akule,86,290588
2016,3,Oahu,C,CHCRT,Carangidae,Akule,70,206894
2012,4,Kauai County,C,CHCRT,Carangidae,Akule,33,40054
2013,4,Kauai County,C,CHCRT,Carangidae,Akule,34,37280
2014,4,Kauai County,C,CHCRT,Carangidae,Akule,39,38603
2015,4,Kauai County,C,CHCRT,Carangidae,Akule,43,52506
2016,4,Kauai County,C,CHCRT,Carangidae,Akule,46,36583
2013,2,Penguin Bank,C,CHCRT,Carangidae,Akule,4,281
2014,2,Penguin Bank,C,CHCRT,Carangidae,Akule,3,209
2013,3,Oahu,C,PHCRT,Carangidae,Barred jack,4,32
2016,3,Oahu,C,PHCRT,Carangidae,Barred jack,3,67
2013,1,Hawaii,C,PHCRT,Carangidae,Dobe ulua,4,157
2014,1,Hawaii,C,PHCRT,Carangidae,Dobe ulua,3,471
2012,2,Maui County,C,PHCRT,Carangidae,Dobe ulua,13,1139
2013,2,Maui County,C,PHCRT,Carangidae,Dobe ulua,8,1592
2014,2,Maui County,C,PHCRT,Carangidae,Dobe ulua,4,115
2015,2,Maui County,C,PHCRT,Carangidae,Dobe ulua,5,58
2016,2,Maui County,C,PHCRT,Carangidae,Dobe ulua,3,118
2013,2,Penguin Bank,C,PHCRT,Carangidae,Dobe ulua,3,176
2014,2,Penguin Bank,C,PHCRT,Carangidae,Dobe ulua,4,24
2015,2,Penguin Bank,C,PHCRT,Carangidae,Dobe ulua,5,400
2016,2,Penguin Bank,C,PHCRT,Carangidae,Dobe ulua,3,6
2012,3,Oahu,C,PHCRT,Carangidae,Dobe ulua,8,6709
2013,3,Oahu,C,PHCRT,Carangidae,Dobe ulua,10,1130
2014,3,Oahu,C,PHCRT,Carangidae,Dobe ulua,11,3519
2015,3,Oahu,C,PHCRT,Carangidae,Dobe ulua,7,814
2016,3,Oahu,C,PHCRT,Carangidae,Dobe ulua,3,312
2012,1,Hawaii,C,CHCRT,Carangidae,Hahalalu,6,278
2014,1,Hawaii,C,CHCRT,Carangidae,Hahalalu,3,55
2015,1,Hawaii,C,CHCRT,Carangidae,Hahalalu,12,244
2016,1,Hawaii,C,CHCRT,Carangidae,Hahalalu,10,534
2012,3,Oahu,C,CHCRT,Carangidae,Hahalalu,32,9652
2013,3,Oahu,C,CHCRT,Carangidae,Hahalalu,30,20957
2014,3,Oahu,C,CHCRT,Carangidae,Hahalalu,28,37057
2015,3,Oahu,C,CHCRT,Carangidae,Hahalalu,16,6474
2016,3,Oahu,C,CHCRT,Carangidae,Hahalalu,17,13524
2012,4,Kauai County,C,CHCRT,Carangidae,Hahalalu,5,278
2013,4,Kauai County,C,CHCRT,Carangidae,Hahalalu,4,104
2014,4,Kauai County,C,CHCRT,Carangidae,Hahalalu,5,192
2015,4,Kauai County,C,CHCRT,Carangidae,Hahalalu,5,144
2012,2,Maui County,C,CHCRT,Carangidae,Kagami ulua,7,252
2013,2,Maui County,C,CHCRT,Carangidae,Kagami ulua,5,57
2014,2,Maui County,C,CHCRT,Carangidae,Kagami ulua,5,61
2015,2,Maui County,C,CHCRT,Carangidae,Kagami ulua,3,41
2012,3,Oahu,C,CHCRT,Carangidae,Kagami ulua,6,89
2013,3,Oahu,C,CHCRT,Carangidae,Kagami ulua,4,18
2014,3,Oahu,C,CHCRT,Carangidae,Kagami ulua,8,74
2015,3,Oahu,C,CHCRT,Carangidae,Kagami ulua,7,98
2016,3,Oahu,C,CHCRT,Carangidae,Kagami ulua,6,34
2012,4,Kauai County,C,CHCRT,Carangidae,Kagami ulua,6,174
2016,4,Kauai County,C,CHCRT,Carangidae,Kagami ulua,6,205
2012,1,Hawaii,C,PHCRT,Carangidae,Kamanu,56,2416
2013,1,Hawaii,C,PHCRT,Carangidae,Kamanu,52,1473
2014,1,Hawaii,C,PHCRT,Carangidae,Kamanu,70,2932
2015,1,Hawaii,C,PHCRT,Carangidae,Kamanu,64,1484
2016,1,Hawaii,C,PHCRT,Carangidae,Kamanu,64,2189
2012,2,Maui County,C,PHCRT,Carangidae,Kamanu,14,524
2013,2,Maui County,C,PHCRT,Carangidae,Kamanu,17,599
2014,2,Maui County,C,PHCRT,Carangidae,Kamanu,31,1059
2015,2,Maui County,C,PHCRT,Carangidae,Kamanu,35,1441
2016,2,Maui County,C,PHCRT,Carangidae,Kamanu,31,1781
2012,2,Penguin Bank,C,PHCRT,Carangidae,Kamanu,5,82
2013,2,Penguin Bank,C,PHCRT,Carangidae,Kamanu,5,143
2014,2,Penguin Bank,C,PHCRT,Carangidae,Kamanu,8,56
2015,2,Penguin Bank,C,PHCRT,Carangidae,Kamanu,13,221
2016,2,Penguin Bank,C,PHCRT,Carangidae,Kamanu,14,273
2012,3,Oahu,C,PHCRT,Carangidae,Kamanu,7,201
2013,3,Oahu,C,PHCRT,Carangidae,Kamanu,9,110
2014,3,Oahu,C,PHCRT,Carangidae,Kamanu,14,159
2015,3,Oahu,C,PHCRT,Carangidae,Kamanu,11,125
2016,3,Oahu,C,PHCRT,Carangidae,Kamanu,19,167
2012,4,Kauai County,C,PHCRT,Carangidae,Kamanu,10,570
2013,4,Kauai County,C,PHCRT,Carangidae,Kamanu,12,917
2014,4,Kauai County,C,PHCRT,Carangidae,Kamanu,18,909
2015,4,Kauai County,C,PHCRT,Carangidae,Kamanu,14,963
2016,4,Kauai County,C,PHCRT,Carangidae,Kamanu,16,982
2012,1,Hawaii,C,PHCRT,Carangidae,Lae,4,4
2013,1,Hawaii,C,PHCRT,Carangidae,Lae,3,6
2014,1,Hawaii,C,PHCRT,Carangidae,Lae,3,5
2015,1,Hawaii,C,PHCRT,Carangidae,Lae,4,10
2012,2,Maui County,C,PHCRT,Carangidae,Lae,3,8
2013,2,Maui County,C,PHCRT,Carangidae,Lae,7,14
2015,2,Maui County,C,PHCRT,Carangidae,Lae,4,4
2012,3,Oahu,C,PHCRT,Carangidae,Lae,20,429
2013,3,Oahu,C,PHCRT,Carangidae,Lae,23,358
2014,3,Oahu,C,PHCRT,Carangidae,Lae,28,235
2015,3,Oahu,C,PHCRT,Carangidae,Lae,16,118
2016,3,Oahu,C,PHCRT,Carangidae,Lae,5,80
2012,3,Oahu,C,PHCRT,Carangidae,Omaka,5,28
2012,1,Hawaii,C,PHCRT,Carangidae,Omilu,16,1268
2013,1,Hawaii,C,PHCRT,Carangidae,Omilu,16,557
2014,1,Hawaii,C,PHCRT,Carangidae,Omilu,19,420
2015,1,Hawaii,C,PHCRT,Carangidae,Omilu,15,609
2016,1,Hawaii,C,PHCRT,Carangidae,Omilu,16,490
2012,2,Maui County,C,PHCRT,Carangidae,Omilu,28,1794
2013,2,Maui County,C,PHCRT,Carangidae,Omilu,37,1124
2014,2,Maui County,C,PHCRT,Carangidae,Omilu,29,1190
2015,2,Maui County,C,PHCRT,Carangidae,Omilu,33,1630
2016,2,Maui County,C,PHCRT,Carangidae,Omilu,29,1463
2012,2,Penguin Bank,C,PHCRT,Carangidae,Omilu,8,664
2013,2,Penguin Bank,C,PHCRT,Carangidae,Omilu,9,513
2014,2,Penguin Bank,C,PHCRT,Carangidae,Omilu,10,312
2015,2,Penguin Bank,C,PHCRT,Carangidae,Omilu,9,255
2016,2,Penguin Bank,C,PHCRT,Carangidae,Omilu,16,495
2012,3,Oahu,C,PHCRT,Carangidae,Omilu,57,2113
2013,3,Oahu,C,PHCRT,Carangidae,Omilu,41,1611
2014,3,Oahu,C,PHCRT,Carangidae,Omilu,50,3573
2015,3,Oahu,C,PHCRT,Carangidae,Omilu,44,1601
2016,3,Oahu,C,PHCRT,Carangidae,Omilu,36,1172
2012,4,Kauai County,C,PHCRT,Carangidae,Omilu,25,2423
2013,4,Kauai County,C,PHCRT,Carangidae,Omilu,20,2546
2014,4,Kauai County,C,PHCRT,Carangidae,Omilu,26,2093
2015,4,Kauai County,C,PHCRT,Carangidae,Omilu,20,2138
2016,4,Kauai County,C,PHCRT,Carangidae,Omilu,20,2175
2012,1,Hawaii,C,CHCRT,Carangidae,Opelu,83,153202
2013,1,Hawaii,C,CHCRT,Carangidae,Opelu,77,131477
2014,1,Hawaii,C,CHCRT,Carangidae,Opelu,76,152367
2015,1,Hawaii,C,CHCRT,Carangidae,Opelu,61,156360
2016,1,Hawaii,C,CHCRT,Carangidae,Opelu,57,103566
2012,2,Maui County,C,CHCRT,Carangidae,Opelu,39,16140
2013,2,Maui County,C,CHCRT,Carangidae,Opelu,54,21701
2014,2,Maui County,C,CHCRT,Carangidae,Opelu,43,18623
2015,2,Maui County,C,CHCRT,Carangidae,Opelu,30,8340
2016,2,Maui County,C,CHCRT,Carangidae,Opelu,21,6845
2012,3,Oahu,C,CHCRT,Carangidae,Opelu,82,65136
2013,3,Oahu,C,CHCRT,Carangidae,Opelu,84,76620
2014,3,Oahu,C,CHCRT,Carangidae,Opelu,73,60422
2015,3,Oahu,C,CHCRT,Carangidae,Opelu,50,61774
2016,3,Oahu,C,CHCRT,Carangidae,Opelu,29,32071
2012,4,Kauai County,C,CHCRT,Carangidae,Opelu,32,12550
2013,4,Kauai County,C,CHCRT,Carangidae,Opelu,33,14508
2014,4,Kauai County,C,CHCRT,Carangidae,Opelu,36,11851
2015,4,Kauai County,C,CHCRT,Carangidae,Opelu,26,5768
2016,4,Kauai County,C,CHCRT,Carangidae,Opelu,20,8801
2014,2,Penguin Bank,C,CHCRT,Carangidae,Opelu,5,268
2015,2,Penguin Bank,C,CHCRT,Carangidae,Opelu,4,110
2016,2,Penguin Bank,C,CHCRT,Carangidae,Opelu,3,20
2013,1,Hawaii,C,PHCRT,Carangidae,Opelu mama,3,42
2014,1,Hawaii,C,PHCRT,Carangidae,Opelu mama,5,37
2012,3,Oahu,C,PHCRT,Carangidae,Paopao ulua,5,864
2013,3,Oahu,C,PHCRT,Carangidae,Paopao ulua,6,941
2014,3,Oahu,C,PHCRT,Carangidae,Paopao ulua,5,187
2016,3,Oahu,C,PHCRT,Carangidae,Paopao ulua,4,108
2012,1,Hawaii,C,PHCRT,Carangidae,Papa ulua,8,32
2013,1,Hawaii,C,PHCRT,Carangidae,Papa ulua,10,152
2014,1,Hawaii,C,PHCRT,Carangidae,Papa ulua,7,137
2015,1,Hawaii,C,PHCRT,Carangidae,Papa ulua,8,60
2016,1,Hawaii,C,PHCRT,Carangidae,Papa ulua,8,222
2012,2,Maui County,C,PHCRT,Carangidae,Papa ulua,29,10354
2013,2,Maui County,C,PHCRT,Carangidae,Papa ulua,26,5137
2014,2,Maui County,C,PHCRT,Carangidae,Papa ulua,32,5391
2015,2,Maui County,C,PHCRT,Carangidae,Papa ulua,34,7049
2016,2,Maui County,C,PHCRT,Carangidae,Papa ulua,29,7379
2012,2,Penguin Bank,C,PHCRT,Carangidae,Papa ulua,10,225
2013,2,Penguin Bank,C,PHCRT,Carangidae,Papa ulua,19,400
2014,2,Penguin Bank,C,PHCRT,Carangidae,Papa ulua,17,625
2015,2,Penguin Bank,C,PHCRT,Carangidae,Papa ulua,13,591
2016,2,Penguin Bank,C,PHCRT,Carangidae,Papa ulua,15,915
2012,3,Oahu,C,PHCRT,Carangidae,Papa ulua,26,441
2013,3,Oahu,C,PHCRT,Carangidae,Papa ulua,24,452
2014,3,Oahu,C,PHCRT,Carangidae,Papa ulua,37,976
2015,3,Oahu,C,PHCRT,Carangidae,Papa ulua,26,493
2016,3,Oahu,C,PHCRT,Carangidae,Papa ulua,22,427
2012,4,Kauai County,C,PHCRT,Carangidae,Papa ulua,11,302
2013,4,Kauai County,C,PHCRT,Carangidae,Papa ulua,4,207
2014,4,Kauai County,C,PHCRT,Carangidae,Papa ulua,11,567
2015,4,Kauai County,C,PHCRT,Carangidae,Papa ulua,7,150
2016,4,Kauai County,C,PHCRT,Carangidae,Papa ulua,7,160
2012,1,Hawaii,C,PHCRT,Carangidae,Sasa ulua,3,58
2013,1,Hawaii,C,PHCRT,Carangidae,Sasa ulua,4,158
2015,1,Hawaii,C,PHCRT,Carangidae,Sasa ulua,3,268
2013,2,Maui County,C,PHCRT,Carangidae,Sasa ulua,3,64
2012,2,Penguin Bank,C,PHCRT,Carangidae,Sasa ulua,3,224
2016,2,Penguin Bank,C,PHCRT,Carangidae,Sasa ulua,5,380
2012,3,Oahu,C,PHCRT,Carangidae,Sasa ulua,11,387
2013,3,Oahu,C,PHCRT,Carangidae,Sasa ulua,8,191
2014,3,Oahu,C,PHCRT,Carangidae,Sasa ulua,4,70
2015,3,Oahu,C,PHCRT,Carangidae,Sasa ulua,6,40
2016,3,Oahu,C,PHCRT,Carangidae,Sasa ulua,4,34
2014,4,Kauai County,C,PHCRT,Carangidae,Sasa ulua,3,89
2014,1,Hawaii,C,PHCRT,Carangidae,Ulua-misc.,6,105
2015,1,Hawaii,C,PHCRT,Carangidae,Ulua-misc.,9,237
2014,2,Maui County,C,PHCRT,Carangidae,Ulua-misc.,19,812
2015,2,Maui County,C,PHCRT,Carangidae,Ulua-misc.,30,1343
2016,2,Maui County,C,PHCRT,Carangidae,Ulua-misc.,5,114
2014,2,Penguin Bank,C,PHCRT,Carangidae,Ulua-misc.,8,417
2015,2,Penguin Bank,C,PHCRT,Carangidae,Ulua-misc.,8,286
2014,3,Oahu,C,PHCRT,Carangidae,Ulua-misc.,24,682
